palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
reclamante,"['re', 'cla', 'man', 'te']",re·cla·man·te,nome masculino,"['ɦe', 'klã', 'mˈɐ̃', 'tʃɪ']",ɦe.klã.mˈɐ̃.tʃɪ,2,penultima,klã,mˈɐ̃,tʃɪ
reclamante,"['re', 'cla', 'man', 'te']",re·cla·man·te,nome feminino,"['ɦe', 'klã', 'mˈɐ̃', 'tʃɪ']",ɦe.klã.mˈɐ̃.tʃɪ,2,penultima,klã,mˈɐ̃,tʃɪ
reclamar,"['re', 'cla', 'mar']",re·cla·mar,verbo,"['ɦe', 'klã', 'mˈa']",ɦe.klã.mˈa,1,ultima,ɦe,klã,mˈa
reclame,"['re', 'cla', 'me']",re·cla·me,nome masculino,"['ɦe', 'klˈɐ̃', 'mɪ']",ɦe.klˈɐ̃.mɪ,2,penultima,ɦe,klˈɐ̃,mɪ
reclamo,"['re', 'cla', 'mo']",re·cla·mo,nome masculino,"['ɦe', 'klˈɐ̃', 'mʊ']",ɦe.klˈɐ̃.mʊ,2,penultima,ɦe,klˈɐ̃,mʊ
reclassificação,"['re', 'clas', 'si', 'fi', 'ca', 'ção']",re·clas·si·fi·ca·ção,nome feminino,"['ɦe', 'kla', 'si', 'fi', 'ka', 'sˈɐ̃w']",ɦe.kla.si.fi.ka.sˈɐ̃w,1,ultima,fi,ka,sˈɐ̃w
reclassificar,"['re', 'clas', 'si', 'fi', 'car']",re·clas·si·fi·car,verbo,"['ɦe', 'kla', 'si', 'fi', 'kˈa']",ɦe.kla.si.fi.kˈa,1,ultima,si,fi,kˈa
reclassificável,"['re', 'clas', 'si', 'fi', 'cá', 'vel']",re·clas·si·fi·cá·vel,adjetivo,"['ɦe', 'kla', 'si', 'fi', 'kˈa', 'vew']",ɦe.kla.si.fi.kˈa.vew,2,penultima,fi,kˈa,vew
reclinado,"['re', 'cli', 'na', 'do']",re·cli·na·do,adjetivo,"['ɦe', 'klĩ', 'nˈa', 'dʊ']",ɦe.klĩ.nˈa.dʊ,2,penultima,klĩ,nˈa,dʊ
reclinar,"['re', 'cli', 'nar']",re·cli·nar,verbo,"['ɦe', 'klĩ', 'nˈa']",ɦe.klĩ.nˈa,1,ultima,ɦe,klĩ,nˈa
reclinável,"['re', 'cli', 'ná', 'vel']",re·cli·ná·vel,adjetivo,"['ɦe', 'klĩ', 'nˈa', 'vew']",ɦe.klĩ.nˈa.vew,2,penultima,klĩ,nˈa,vew
recluir,"['re', 'clu', 'ir']",re·clu·ir,verbo,"['ɦe', 'klu', 'ˈi']",ɦe.klu.ˈi,1,ultima,ɦe,klu,ˈi
reclusa,"['re', 'clu', 'sa']",re·clu·sa,nome feminino,"['ɦe', 'klˈu', 'zɐ']",ɦe.klˈu.zɐ,2,penultima,ɦe,klˈu,zɐ
reclusão,"['re', 'clu', 'são']",re·clu·são,nome feminino,"['ɦe', 'klu', 'zˈɐ̃w']",ɦe.klu.zˈɐ̃w,1,ultima,ɦe,klu,zˈɐ̃w
recluso,"['re', 'clu', 'so']",re·clu·so,nome masculino,"['ɦe', 'klˈu', 'zʊ']",ɦe.klˈu.zʊ,2,penultima,ɦe,klˈu,zʊ
recluso,"['re', 'clu', 'so']",re·clu·so,adjetivo,"['ɦe', 'klˈu', 'zʊ']",ɦe.klˈu.zʊ,2,penultima,ɦe,klˈu,zʊ
reco,"['re', 'co']",re·co,nome masculino,"['ɦˈɛ', 'kʊ']",ɦˈɛ.kʊ,2,penultima,,ɦˈɛ,kʊ
reco-reco,"['re', 'co', 're', 'co']",re·co-re·co,nome masculino,"['ɦˌɛ', 'kʊ', 'ɦˈɛ', 'kʊ']",ɦˌɛ.kʊ.ɦˈɛ.kʊ,2,penultima,kʊ,ɦˈɛ,kʊ
recobra,"['re', 'co', 'bra']",re·co·bra,nome feminino,"['ɦe', 'kˈɔ', 'bɾɐ']",ɦe.kˈɔ.bɾɐ,2,penultima,ɦe,kˈɔ,bɾɐ
recobrado,"['re', 'co', 'bra', 'do']",re·co·bra·do,adjetivo,"['ɦe', 'ko', 'bɾˈa', 'dʊ']",ɦe.ko.bɾˈa.dʊ,2,penultima,ko,bɾˈa,dʊ
recobrar,"['re', 'co', 'brar']",re·co·brar,verbo,"['ɦe', 'ko', 'bɾˈa']",ɦe.ko.bɾˈa,1,ultima,ɦe,ko,bɾˈa
recobrável,"['re', 'co', 'brá', 'vel']",re·co·brá·vel,adjetivo,"['ɦe', 'ko', 'bɾˈa', 'vew']",ɦe.ko.bɾˈa.vew,2,penultima,ko,bɾˈa,vew
recobrimento,"['re', 'co', 'bri', 'men', 'to']",re·co·bri·men·to,nome masculino,"['ɦe', 'ko', 'bɾĩ', 'mˈẽ', 'tʊ']",ɦe.ko.bɾĩ.mˈẽ.tʊ,2,penultima,bɾĩ,mˈẽ,tʊ
recobrir,"['re', 'co', 'brir']",re·co·brir,verbo,"['ɦe', 'ko', 'bɾˈi']",ɦe.ko.bɾˈi,1,ultima,ɦe,ko,bɾˈi
recobro,"['re', 'co', 'bro']",re·co·bro,nome masculino,"['ɦe', 'kˈo', 'bɾʊ']",ɦe.kˈo.bɾʊ,2,penultima,ɦe,kˈo,bɾʊ
recogitar,"['re', 'co', 'gi', 'tar']",re·co·gi·tar,verbo,"['ɦe', 'ko', 'ʒi', 'tˈaɾ']",ɦe.ko.ʒi.tˈaɾ,1,ultima,ko,ʒi,tˈaɾ
recognição,"['re', 'cog', 'ni', 'ção']",re·cog·ni·ção,nome feminino,"['ɦe', 'kɔ', 'gĩ', 'ni', 'sˈɐ̃w']",ɦe.kɔ.gĩ.ni.sˈɐ̃w,1,ultima,gĩ,ni,sˈɐ̃w
recognitivo,"['re', 'cog', 'ni', 'ti', 'vo']",re·cog·ni·ti·vo,adjetivo,"['ɦe', 'kɔ', 'gĩ', 'ni', 'tʃˈi', 'vʊ']",ɦe.kɔ.gĩ.ni.tʃˈi.vʊ,2,penultima,ni,tʃˈi,vʊ
recognoscível,"['re', 'cog', 'nos', 'cí', 'vel']",re·cog·nos·cí·vel,adjetivo,"['ɦe', 'kɔ', 'gə̃', 'nɔ', 'sˈi', 'vew']",ɦe.kɔ.gə̃.nɔ.sˈi.vew,2,penultima,nɔ,sˈi,vew
recoitar,"['re', 'coi', 'tar']",re·coi·tar,verbo,"['ɦe', 'koj', 'tˈaɾ']",ɦe.koj.tˈaɾ,1,ultima,ɦe,koj,tˈaɾ
recoito,"['re', 'coi', 'to']",re·coi·to,adjetivo,"['ɦe', 'kˈoj', 'tʊ']",ɦe.kˈoj.tʊ,2,penultima,ɦe,kˈoj,tʊ
recolagem,"['re', 'co', 'la', 'gem']",re·co·la·gem,nome feminino,"['ɦe', 'ko', 'lˈa', 'ʒẽj']",ɦe.ko.lˈa.ʒẽj,2,penultima,ko,lˈa,ʒẽj
recolar,"['re', 'co', 'lar']",re·co·lar,verbo,"['ɦe', 'ko', 'lˈaɾ']",ɦe.ko.lˈaɾ,1,ultima,ɦe,ko,lˈaɾ
