palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
objectora,"['ob', 'jec', 'to', 'ra']",ob·jec·to·ra,nome feminino,"['o', 'bi', 'ʒe', 'kə', 'tˈo', 'ɾɐ']",o.bi.ʒe.kə.tˈo.ɾɐ,2,penultima,kə,tˈo,ɾɐ
objeito,"['ob', 'jei', 'to']",ob·jei·to,nome masculino,"['ob', 'ʒˈej', 'tʊ']",ob.ʒˈej.tʊ,2,penultima,ob,ʒˈej,tʊ
objetar,"['ob', 'je', 'tar']",ob·je·tar,verbo,"['o', 'bi', 'ʒe', 'tˈa ou o', 'bi', 'ʒe', 'tˈa']",o.bi.ʒe.tˈa ou o.bi.ʒe.tˈa,1,ultima,bi,ʒe,tˈa
objetiva,"['ob', 'je', 'ti', 'va']",ob·je·ti·va,nome feminino,"['o', 'bi', 'ʒe', 'tʃˈi', 'vɐ']",o.bi.ʒe.tʃˈi.vɐ,2,penultima,ʒe,tʃˈi,vɐ
objetivamente,"['ob', 'je', 'ti', 'va', 'men', 'te']",ob·je·ti·va·men·te,advérbio,"['o', 'bi', 'ʒe', 'tʃi', 'vã', 'mˈẽ', 'tʃɪ']",o.bi.ʒe.tʃi.vã.mˈẽ.tʃɪ,2,penultima,vã,mˈẽ,tʃɪ
objetivar,"['ob', 'je', 'ti', 'var']",ob·je·ti·var,verbo,"['o', 'bi', 'ʒe', 'tʃi', 'vˈa ou o', 'bi', 'ʒe', 'tʃi', 'vˈa']",o.bi.ʒe.tʃi.vˈa ou o.bi.ʒe.tʃi.vˈa,1,ultima,ʒe,tʃi,vˈa
objetivo,"['ob', 'je', 'ti', 'vo']",ob·je·ti·vo,adjetivo,"['o', 'bi', 'ʒe', 'tʃˈi', 'vʊ']",o.bi.ʒe.tʃˈi.vʊ,2,penultima,ʒe,tʃˈi,vʊ
objetivo,"['ob', 'je', 'ti', 'vo']",ob·je·ti·vo,nome masculino,"['o', 'bi', 'ʒe', 'tʃˈi', 'vʊ']",o.bi.ʒe.tʃˈi.vʊ,2,penultima,ʒe,tʃˈi,vʊ
objeto,"['ob', 'je', 'to']",ob·je·to,nome masculino,"['o', 'bi', 'ʒˈɛ', 'tʊ ou o', 'bi', 'ʒˈɛ', 'tʊ']",o.bi.ʒˈɛ.tʊ ou o.bi.ʒˈɛ.tʊ,2,penultima,bi,ʒˈɛ,tʊ
objurgatória,"['ob', 'jur', 'ga', 'tó', 'ri', 'a']",ob·jur·ga·tó·ri·a,nome feminino,"['ɔ', 'bə', 'ʒuɦ', 'ga', 'tˈɔ', 'ɾjɐ']",ɔ.bə.ʒuɦ.ga.tˈɔ.ɾjɐ,3,antepenultima,ga,tˈɔ,ɾjɐ
objurgatório,"['ob', 'jur', 'ga', 'tó', 'ri', 'o']",ob·jur·ga·tó·ri·o,adjetivo,"['ɔ', 'bə', 'ʒuɦ', 'ga', 'tˈɔ', 'ɾjʊ']",ɔ.bə.ʒuɦ.ga.tˈɔ.ɾjʊ,3,antepenultima,ga,tˈɔ,ɾjʊ
oblada,"['o', 'bla', 'da']",o·bla·da,nome feminino,"['ɔ', 'blˈa', 'dɐ']",ɔ.blˈa.dɐ,2,penultima,ɔ,blˈa,dɐ
oblata,"['o', 'bla', 'ta']",o·bla·ta,nome feminino,"['o', 'blˈa', 'tɐ']",o.blˈa.tɐ,2,penultima,o,blˈa,tɐ
oblatar,"['o', 'bla', 'tar']",o·bla·tar,verbo,"['o', 'bla', 'tˈa']",o.bla.tˈa,1,ultima,o,bla,tˈa
oblato,"['o', 'bla', 'to']",o·bla·to,adjetivo,"['o', 'blˈa', 'tʊ']",o.blˈa.tʊ,2,penultima,o,blˈa,tʊ
oblíqua,"['o', 'blí', 'qua']",o·blí·qua,nome feminino,"['o', 'blˈi', 'kwɐ']",o.blˈi.kwɐ,2,penultima,o,blˈi,kwɐ
obliquamente,"['o', 'bli', 'qua', 'men', 'te']",o·bli·qua·men·te,advérbio,"['o', 'bli', 'kwã', 'mˈẽ', 'tʃɪ']",o.bli.kwã.mˈẽ.tʃɪ,2,penultima,kwã,mˈẽ,tʃɪ
obliquar,"['o', 'bli', 'quar']",o·bli·quar,verbo,"['o', 'bli', 'kwˈa']",o.bli.kwˈa,1,ultima,o,bli,kwˈa
