palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
labiríntico,"['la', 'bi', 'rín', 'ti', 'co']",la·bi·rín·ti·co,adjetivo,"['la', 'bi', 'ɾˈĩ', 'tʃi', 'kʊ']",la.bi.ɾˈĩ.tʃi.kʊ,3,antepenultima,ɾˈĩ,tʃi,kʊ
labirinto,"['la', 'bi', 'rin', 'to']",la·bi·rin·to,nome masculino,"['la', 'bi', 'ɾˈĩ', 'tʊ']",la.bi.ɾˈĩ.tʊ,2,penultima,bi,ɾˈĩ,tʊ
labor,"['la', 'bor']",la·bor,nome masculino,"['la', 'bˈo']",la.bˈo,1,ultima,,la,bˈo
laboração,"['la', 'bo', 'ra', 'ção']",la·bo·ra·ção,nome feminino,"['la', 'bo', 'ɾa', 'sˈɐ̃w']",la.bo.ɾa.sˈɐ̃w,1,ultima,bo,ɾa,sˈɐ̃w
laboral,"['la', 'bo', 'ral']",la·bo·ral,adjetivo,"['la', 'bo', 'ɾˈaw']",la.bo.ɾˈaw,1,ultima,la,bo,ɾˈaw
laborar,"['la', 'bo', 'rar']",la·bo·rar,verbo,"['la', 'bo', 'ɾˈa']",la.bo.ɾˈa,1,ultima,la,bo,ɾˈa
laboratorial,"['la', 'bo', 'ra', 'to', 'ri', 'al']",la·bo·ra·to·ri·al,adjetivo,"['la', 'bo', 'ɾa', 'to', 'ɾi', 'ˈaw']",la.bo.ɾa.to.ɾi.ˈaw,1,ultima,to,ɾi,ˈaw
laboratorialmente,"['la', 'bo', 'ra', 'to', 'ri', 'al', 'men', 'te']",la·bo·ra·to·ri·al·men·te,advérbio,"['la', 'bo', 'ɾa', 'to', 'ɾi', 'aw', 'mˈẽ', 'tʃɪ']",la.bo.ɾa.to.ɾi.aw.mˈẽ.tʃɪ,2,penultima,aw,mˈẽ,tʃɪ
laboratório,"['la', 'bo', 'ra', 'tó', 'ri', 'o']",la·bo·ra·tó·ri·o,nome masculino,"['la', 'bo', 'ɾa', 'tˈɔ', 'ɾjʊ']",la.bo.ɾa.tˈɔ.ɾjʊ,3,antepenultima,ɾa,tˈɔ,ɾjʊ
laboriosamente,"['la', 'bo', 'ri', 'o', 'sa', 'men', 'te']",la·bo·ri·o·sa·men·te,advérbio,"['la', 'bo', 'ɾjo', 'zã', 'mˈẽ', 'tʃɪ']",la.bo.ɾjo.zã.mˈẽ.tʃɪ,2,penultima,zã,mˈẽ,tʃɪ
laboriosidade,"['la', 'bo', 'ri', 'o', 'si', 'da', 'de']",la·bo·ri·o·si·da·de,nome feminino,"['la', 'bo', 'ɾjo', 'zi', 'dˈa', 'dʒɪ']",la.bo.ɾjo.zi.dˈa.dʒɪ,2,penultima,zi,dˈa,dʒɪ
laborioso,"['la', 'bo', 'ri', 'o', 'so']",la·bo·ri·o·so,adjetivo,"['la', 'bo', 'ɾjˈo', 'zʊ']",la.bo.ɾjˈo.zʊ,2,penultima,bo,ɾjˈo,zʊ
laborista,"['la', 'bo', 'ris', 'ta']",la·bo·ris·ta,adjetivo,"['la', 'bo', 'ɾˈiʃ', 'tɐ']",la.bo.ɾˈiʃ.tɐ,2,penultima,bo,ɾˈiʃ,tɐ
laborista,"['la', 'bo', 'ris', 'ta']",la·bo·ris·ta,nome masculino,"['la', 'bo', 'ɾˈiʃ', 'tɐ ou la', 'bo', 'ɾˈiʃ', 'tɐ']",la.bo.ɾˈiʃ.tɐ ou la.bo.ɾˈiʃ.tɐ,2,penultima,bo,ɾˈiʃ,tɐ
labrador,"['la', 'bra', 'dor']",la·bra·dor,nome masculino,"['la', 'bɾa', 'dˈo']",la.bɾa.dˈo,1,ultima,la,bɾa,dˈo
labregar,"['la', 'bre', 'gar']",la·bre·gar,verbo,"['la', 'bɾe', 'gˈa']",la.bɾe.gˈa,1,ultima,la,bɾe,gˈa
labrego,"['la', 'bre', 'go']",la·bre·go,nome masculino,"['la', 'bɾˈe', 'gʊ']",la.bɾˈe.gʊ,2,penultima,la,bɾˈe,gʊ
