palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
jacobino,"['ja', 'co', 'bi', 'no']",ja·co·bi·no,nome masculino,"['ʒa', 'ko', 'bˈĩ', 'nʊ']",ʒa.ko.bˈĩ.nʊ,2,penultima,ko,bˈĩ,nʊ
jacobino,"['ja', 'co', 'bi', 'no']",ja·co·bi·no,adjetivo,"['ʒa', 'ko', 'bˈĩ', 'nʊ']",ʒa.ko.bˈĩ.nʊ,2,penultima,ko,bˈĩ,nʊ
jactância,"['jac', 'tân', 'ci', 'a']",jac·tân·ci·a,nome feminino,"['ʒa', 'kə', 'tˈɐ̃', 'sjɐ']",ʒa.kə.tˈɐ̃.sjɐ,3,antepenultima,kə,tˈɐ̃,sjɐ
jactar,"['jac', 'tar']",jac·tar,verbo,"['ʒa', 'kə', 'tˈa']",ʒa.kə.tˈa,1,ultima,ʒa,kə,tˈa
jacto,"['jac', 'to']",jac·to,nome masculino,"['ʒˈa', 'kə', 'tʊ']",ʒˈa.kə.tʊ,2,penultima,ʒˈa,kə,tʊ
jaculatória,"['ja', 'cu', 'la', 'tó', 'ri', 'a']",ja·cu·la·tó·ri·a,nome feminino,"['ʒa', 'ku', 'la', 'tˈɔ', 'ɾjɐ']",ʒa.ku.la.tˈɔ.ɾjɐ,3,antepenultima,la,tˈɔ,ɾjɐ
jaculatório,"['ja', 'cu', 'la', 'tó', 'ri', 'o']",ja·cu·la·tó·ri·o,adjetivo,"['ʒa', 'ku', 'la', 'tˈɔ', 'ɾjʊ']",ʒa.ku.la.tˈɔ.ɾjʊ,3,antepenultima,la,tˈɔ,ɾjʊ
jacutinga,"['ja', 'cu', 'tin', 'ga']",ja·cu·tin·ga,nome feminino,"['ʒa', 'ku', 'tʃˈĩ', 'gɐ']",ʒa.ku.tʃˈĩ.gɐ,2,penultima,ku,tʃˈĩ,gɐ
jacuzzi,"['ja', 'cuz', 'zi']",ja·cuz·zi,nome masculino,[''],,2,penultima,,,
jade,"['ja', 'de']",ja·de,nome masculino,"['ʒˈa', 'dʒɪ']",ʒˈa.dʒɪ,2,penultima,,ʒˈa,dʒɪ
jaez,"['ja', 'ez']",ja·ez,nome masculino,"['ʒa', 'ˈeʃ']",ʒa.ˈeʃ,1,ultima,,ʒa,ˈeʃ
jaga,"['ja', 'ga']",ja·ga,nome masculino,"['ʒˈa', 'gɐ ou ʒˈa', 'gɐ']",ʒˈa.gɐ ou ʒˈa.gɐ,2,penultima,ʒˈa,gɐ ou ʒˈa,gɐ
jaga,"['ja', 'ga']",ja·ga,adjetivo,"['ʒˈa', 'gɐ']",ʒˈa.gɐ,2,penultima,,ʒˈa,gɐ
jagra,"['ja', 'gra']",ja·gra,nome feminino,"['ʒˈa', 'gɾɐ']",ʒˈa.gɾɐ,2,penultima,,ʒˈa,gɾɐ
jaguar,"['ja', 'guar']",ja·guar,nome masculino,"['ʒa', 'gwˈa']",ʒa.gwˈa,1,ultima,,ʒa,gwˈa
