palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
xerox,"['xe', 'rox']",xe·rox,nome masculino,"['ʃe', 'ɾˈɔks']",ʃe.ɾˈɔks,1,ultima,,ʃe,ɾˈɔks
xerox,"['xe', 'rox']",xe·rox,nome feminino,"['ʃe', 'ɾˈɔks']",ʃe.ɾˈɔks,1,ultima,,ʃe,ɾˈɔks
xícara,"['xí', 'ca', 'ra']",xí·ca·ra,nome feminino,"['ʃˈi', 'ka', 'ɾɐ']",ʃˈi.ka.ɾɐ,3,antepenultima,ʃˈi,ka,ɾɐ
xicuembo,"['xi', 'cu', 'em', 'bo']",xi·cu·em·bo,nome masculino,"['ʃi', 'ku', 'ˈẽ', 'bʊ']",ʃi.ku.ˈẽ.bʊ,2,penultima,ku,ˈẽ,bʊ
xigubo,"['xi', 'gu', 'bo']",xi·gu·bo,nome masculino,"['ʃi', 'gˈu', 'bʊ']",ʃi.gˈu.bʊ,2,penultima,ʃi,gˈu,bʊ
xiismo,"['xi', 'is', 'mo']",xi·is·mo,nome masculino,"['ʃi', 'ˈiʒ', 'mʊ']",ʃi.ˈiʒ.mʊ,2,penultima,ʃi,ˈiʒ,mʊ
xiita,"['xi', 'i', 'ta']",xi·i·ta,nome masculino,"['ʃi', 'ˈi', 'tɐ']",ʃi.ˈi.tɐ,2,penultima,ʃi,ˈi,tɐ
xiita,"['xi', 'i', 'ta']",xi·i·ta,adjetivo,"['ʃi', 'ˈi', 'tɐ']",ʃi.ˈi.tɐ,2,penultima,ʃi,ˈi,tɐ
xiita,"['xi', 'i', 'ta']",xi·i·ta,nome feminino,"['ʃi', 'ˈi', 'tɐ']",ʃi.ˈi.tɐ,2,penultima,ʃi,ˈi,tɐ
xila,"['xi', 'la']",xi·la,nome feminino,"['ʃˈi', 'lɐ']",ʃˈi.lɐ,2,penultima,,ʃˈi,lɐ
xileno,"['xi', 'le', 'no']",xi·le·no,nome masculino,"['ʃi', 'lˈẽ', 'nʊ']",ʃi.lˈẽ.nʊ,2,penultima,ʃi,lˈẽ,nʊ
xilófago,"['xi', 'ló', 'fa', 'go']",xi·ló·fa·go,adjetivo,"['ʃi', 'lˈɔ', 'fa', 'gʊ']",ʃi.lˈɔ.fa.gʊ,3,antepenultima,lˈɔ,fa,gʊ
