palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
tabuense,"['ta', 'bu', 'en', 'se']",ta·bu·en·se,nome masculino,"['ta', 'bu', 'ˈẽ', 'sɪ']",ta.bu.ˈẽ.sɪ,2,penultima,bu,ˈẽ,sɪ
tabuinha,"['ta', 'bu', 'i', 'nha']",ta·bu·i·nha,nome feminino,"['ta', 'bu', 'ˈĩ', 'ɲɐ']",ta.bu.ˈĩ.ɲɐ,2,penultima,bu,ˈĩ,ɲɐ
tabular,"['ta', 'bu', 'lar']",ta·bu·lar,verbo,"['ta', 'bu', 'lˈa']",ta.bu.lˈa,1,ultima,ta,bu,lˈa
tabuleiro,"['ta', 'bu', 'lei', 'ro']",ta·bu·lei·ro,nome masculino,"['ta', 'bu', 'lˈej', 'ɾʊ']",ta.bu.lˈej.ɾʊ,2,penultima,bu,lˈej,ɾʊ
tabuleta,"['ta', 'bu', 'le', 'ta']",ta·bu·le·ta,nome feminino,"['ta', 'bu', 'lˈe', 'tɐ']",ta.bu.lˈe.tɐ,2,penultima,bu,lˈe,tɐ
taça,"['ta', 'ça']",ta·ça,nome feminino,"['tˈa', 'sɐ']",tˈa.sɐ,2,penultima,,tˈa,sɐ
taca,"['ta', 'ca']",ta·ca,nome feminino,"['tˈa', 'kɐ']",tˈa.kɐ,2,penultima,,tˈa,kɐ
tacada,"['ta', 'ca', 'da']",ta·ca·da,nome feminino,"['ta', 'kˈa', 'dɐ']",ta.kˈa.dɐ,2,penultima,ta,kˈa,dɐ
tacanhamente,"['ta', 'ca', 'nha', 'men', 'te']",ta·ca·nha·men·te,advérbio,"['ta', 'kã', 'ɲã', 'mˈẽ', 'tʃɪ']",ta.kã.ɲã.mˈẽ.tʃɪ,2,penultima,ɲã,mˈẽ,tʃɪ
tacanhez,"['ta', 'ca', 'nhez']",ta·ca·nhez,nome feminino,"['ta', 'kã', 'ɲˈeʃ']",ta.kã.ɲˈeʃ,1,ultima,ta,kã,ɲˈeʃ
