palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
berrão,"['ber', 'rão']",ber·rão,nome masculino,"['be', 'ɦˈɐ̃w']",be.ɦˈɐ̃w,1,ultima,,be,ɦˈɐ̃w
berrar,"['ber', 'rar']",ber·rar,verbo,"['be', 'ɦˈa']",be.ɦˈa,1,ultima,,be,ɦˈa
berraria,"['ber', 'ra', 'ri', 'a']",ber·ra·ri·a,nome feminino,"['be', 'ɦa', 'ɾˈi', 'ɐ']",be.ɦa.ɾˈi.ɐ,2,penultima,ɦa,ɾˈi,ɐ
berreiro,"['ber', 'rei', 'ro']",ber·rei·ro,nome masculino,"['be', 'ɦˈej', 'ɾʊ']",be.ɦˈej.ɾʊ,2,penultima,be,ɦˈej,ɾʊ
berro,"['ber', 'ro']",ber·ro,nome masculino,"['bˈɛ', 'ɦʊ']",bˈɛ.ɦʊ,2,penultima,,bˈɛ,ɦʊ
berroa,"['ber', 'ro', 'a']",ber·ro·a,nome feminino,"['be', 'ɦˈo', 'ɐ']",be.ɦˈo.ɐ,2,penultima,be,ɦˈo,ɐ
bertioga,"['ber', 'ti', 'o', 'ga']",ber·ti·o·ga,nome feminino,"['beh', 'tʃjˈɔ', 'gɐ']",beh.tʃjˈɔ.gɐ,2,penultima,beh,tʃjˈɔ,gɐ
bertoldo,"['ber', 'tol', 'do']",ber·tol·do,nome masculino,"['beh', 'tˈow', 'dʊ']",beh.tˈow.dʊ,2,penultima,beh,tˈow,dʊ
besourar,"['be', 'sou', 'rar']",be·sou·rar,verbo,"['be', 'zo', 'ɾˈa']",be.zo.ɾˈa,1,ultima,be,zo,ɾˈa
besouro,"['be', 'sou', 'ro']",be·sou·ro,nome masculino,"['be', 'zˈo', 'ɾʊ']",be.zˈo.ɾʊ,2,penultima,be,zˈo,ɾʊ
bessarábio,"['bes', 'sa', 'rá', 'bi', 'o']",bes·sa·rá·bi·o,adjetivo,"['be', 'sa', 'ɾˈa', 'bjʊ']",be.sa.ɾˈa.bjʊ,3,antepenultima,sa,ɾˈa,bjʊ
best-seller,"['best', 'sel', 'ler']",best-sel·ler,nome masculino,[''],,2,penultima,,,
besta,"['bes', 'ta']",bes·ta,nome feminino,"['bˈɛʃ', 'tɐ']",bˈɛʃ.tɐ,2,penultima,,bˈɛʃ,tɐ
besta,"['bes', 'ta']",bes·ta,adjetivo,"['bˈeʃ', 'tɐ']",bˈeʃ.tɐ,2,penultima,,bˈeʃ,tɐ
bestar,"['bes', 'tar']",bes·tar,verbo,"['beʃ', 'tˈa']",beʃ.tˈa,1,ultima,,beʃ,tˈa
besteira,"['bes', 'tei', 'ra']",bes·tei·ra,nome feminino,"['beʃ', 'tˈej', 'ɾɐ']",beʃ.tˈej.ɾɐ,2,penultima,beʃ,tˈej,ɾɐ
besteiro,"['bes', 'tei', 'ro']",bes·tei·ro,nome masculino,"['beʃ', 'tˈej', 'ɾʊ']",beʃ.tˈej.ɾʊ,2,penultima,beʃ,tˈej,ɾʊ
bestial,"['bes', 'ti', 'al']",bes·ti·al,adjetivo,"['beʃ', 'tʃi', 'ˈaw']",beʃ.tʃi.ˈaw,1,ultima,beʃ,tʃi,ˈaw
bestialidade,"['bes', 'ti', 'a', 'li', 'da', 'de']",bes·ti·a·li·da·de,nome feminino,"['beʃ', 'tʃi', 'a', 'li', 'dˈa', 'dʒɪ']",beʃ.tʃi.a.li.dˈa.dʒɪ,2,penultima,li,dˈa,dʒɪ
bestializar,"['bes', 'ti', 'a', 'li', 'zar']",bes·ti·a·li·zar,verbo,"['beʃ', 'tʃi', 'a', 'li', 'zˈa']",beʃ.tʃi.a.li.zˈa,1,ultima,a,li,zˈa
bestialmente,"['bes', 'ti', 'al', 'men', 'te']",bes·ti·al·men·te,advérbio,"['beʃ', 'tʃi', 'aw', 'mˈẽ', 'tʃɪ']",beʃ.tʃi.aw.mˈẽ.tʃɪ,2,penultima,aw,mˈẽ,tʃɪ
bestiário,"['bes', 'ti', 'á', 'ri', 'o']",bes·ti·á·ri·o,nome masculino,"['beʃ', 'tʃi', 'ˈa', 'ɾjʊ']",beʃ.tʃi.ˈa.ɾjʊ,3,antepenultima,tʃi,ˈa,ɾjʊ
bestuntar,"['bes', 'tun', 'tar']",bes·tun·tar,verbo,"['beʃ', 'tũ', 'tˈa']",beʃ.tũ.tˈa,1,ultima,beʃ,tũ,tˈa
bestunto,"['bes', 'tun', 'to']",bes·tun·to,nome masculino,"['beʃ', 'tˈũ', 'tʊ']",beʃ.tˈũ.tʊ,2,penultima,beʃ,tˈũ,tʊ
besugo,"['be', 'su', 'go']",be·su·go,nome masculino,"['be', 'zˈu', 'gʊ']",be.zˈu.gʊ,2,penultima,be,zˈu,gʊ
besuntar,"['be', 'sun', 'tar']",be·sun·tar,verbo,"['be', 'zũ', 'tˈa']",be.zũ.tˈa,1,ultima,be,zũ,tˈa
beta,"['be', 'ta']",be·ta,nome feminino,"['bˈe', 'tɐ']",bˈe.tɐ,2,penultima,,bˈe,tɐ
beta,"['be', 'ta']",be·ta,nome masculino,"['bˈɛ', 'tɐ']",bˈɛ.tɐ,2,penultima,,bˈɛ,tɐ
betacaroteno,"['be', 'ta', 'ca', 'ro', 'te', 'no']",be·ta·ca·ro·te·no,nome masculino,"['bɛ', 'ta', 'ka', 'ɾo', 'tˈẽ', 'nʊ']",bɛ.ta.ka.ɾo.tˈẽ.nʊ,2,penultima,ɾo,tˈẽ,nʊ
betão,"['be', 'tão']",be·tão,nome masculino,"['be', 'tˈɐ̃w']",be.tˈɐ̃w,1,ultima,,be,tˈɐ̃w
betar,"['be', 'tar']",be·tar,verbo,"['be', 'tˈa']",be.tˈa,1,ultima,,be,tˈa
beterraba,"['be', 'ter', 'ra', 'ba']",be·ter·ra·ba,nome feminino,"['be', 'te', 'ɦˈa', 'bɐ']",be.te.ɦˈa.bɐ,2,penultima,te,ɦˈa,bɐ
betesga,"['be', 'tes', 'ga']",be·tes·ga,nome feminino,"['be', 'tˈeʒ', 'gɐ']",be.tˈeʒ.gɐ,2,penultima,be,tˈeʒ,gɐ
bética,"['bé', 'ti', 'ca']",bé·ti·ca,nome feminino,"['bˈɛ', 'tʃi', 'kɐ']",bˈɛ.tʃi.kɐ,3,antepenultima,bˈɛ,tʃi,kɐ
bético,"['bé', 'ti', 'co']",bé·ti·co,adjetivo,"['bˈɛ', 'tʃi', 'kʊ']",bˈɛ.tʃi.kʊ,3,antepenultima,bˈɛ,tʃi,kʊ
betinho,"['be', 'ti', 'nho']",be·ti·nho,nome masculino,"['bɛ', 'tʃˈĩ', 'ɲʊ']",bɛ.tʃˈĩ.ɲʊ,2,penultima,bɛ,tʃˈĩ,ɲʊ
betinho,"['be', 'ti', 'nho']",be·ti·nho,adjetivo,"['bɛ', 'tʃˈĩ', 'ɲʊ']",bɛ.tʃˈĩ.ɲʊ,2,penultima,bɛ,tʃˈĩ,ɲʊ
beto,"['be', 'to']",be·to,nome masculino,"['bˈɛ', 'tʊ']",bˈɛ.tʊ,2,penultima,,bˈɛ,tʊ
beto,"['be', 'to']",be·to,adjetivo,"['bˈɛ', 'tʊ']",bˈɛ.tʊ,2,penultima,,bˈɛ,tʊ
betonado,"['be', 'to', 'na', 'do']",be·to·na·do,adjetivo,"['be', 'tõ', 'nˈa', 'dʊ']",be.tõ.nˈa.dʊ,2,penultima,tõ,nˈa,dʊ
betonagem,"['be', 'to', 'na', 'gem']",be·to·na·gem,nome feminino,"['be', 'tõ', 'nˈa', 'ʒẽj']",be.tõ.nˈa.ʒẽj,2,penultima,tõ,nˈa,ʒẽj
betonar,"['be', 'to', 'nar']",be·to·nar,verbo,"['be', 'tõ', 'nˈa']",be.tõ.nˈa,1,ultima,be,tõ,nˈa
betoneira,"['be', 'to', 'nei', 'ra']",be·to·nei·ra,nome feminino,"['be', 'tõ', 'nˈej', 'ɾɐ']",be.tõ.nˈej.ɾɐ,2,penultima,tõ,nˈej,ɾɐ
bétula,"['bé', 'tu', 'la']",bé·tu·la,nome feminino,"['bˈɛ', 'tu', 'lɐ']",bˈɛ.tu.lɐ,3,antepenultima,bˈɛ,tu,lɐ
betumar,"['be', 'tu', 'mar']",be·tu·mar,verbo,"['be', 'tũ', 'mˈa']",be.tũ.mˈa,1,ultima,be,tũ,mˈa
betume,"['be', 'tu', 'me']",be·tu·me,nome masculino,"['be', 'tˈũ', 'mɪ']",be.tˈũ.mɪ,2,penultima,be,tˈũ,mɪ
betuminoso,"['be', 'tu', 'mi', 'no', 'so']",be·tu·mi·no·so,adjetivo,"['be', 'tũ', 'mĩ', 'nˈo', 'zʊ']",be.tũ.mĩ.nˈo.zʊ,2,penultima,mĩ,nˈo,zʊ
bexiga,"['be', 'xi', 'ga']",be·xi·ga,nome feminino,"['be', 'ʃˈi', 'gɐ']",be.ʃˈi.gɐ,2,penultima,be,ʃˈi,gɐ
bexigar,"['be', 'xi', 'gar']",be·xi·gar,verbo,"['be', 'ʃi', 'gˈa']",be.ʃi.gˈa,1,ultima,be,ʃi,gˈa
bexigoso,"['be', 'xi', 'go', 'so']",be·xi·go·so,adjetivo,"['be', 'ʃi', 'gˈo', 'zʊ']",be.ʃi.gˈo.zʊ,2,penultima,ʃi,gˈo,zʊ
bexigoso,"['be', 'xi', 'go', 'so']",be·xi·go·so,nome masculino,"['be', 'ʃi', 'gˈo', 'zʊ']",be.ʃi.gˈo.zʊ,2,penultima,ʃi,gˈo,zʊ
bezana,"['be', 'za', 'na']",be·za·na,nome feminino,"['be', 'zˈɐ̃', 'nɐ']",be.zˈɐ̃.nɐ,2,penultima,be,zˈɐ̃,nɐ
bezerra,"['be', 'zer', 'ra']",be·zer·ra,nome feminino,"['be', 'zˈe', 'ɦɐ']",be.zˈe.ɦɐ,2,penultima,be,zˈe,ɦɐ
bezerrada,"['be', 'zer', 'ra', 'da']",be·zer·ra·da,nome feminino,"['be', 'ze', 'ɦˈa', 'dɐ']",be.ze.ɦˈa.dɐ,2,penultima,ze,ɦˈa,dɐ
