palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
zelar,"['ze', 'lar']",ze·lar,verbo,"['ze', 'lˈa']",ze.lˈa,1,ultima,,ze,lˈa
zelo,"['ze', 'lo']",ze·lo,nome masculino,"['zˈe', 'lʊ']",zˈe.lʊ,2,penultima,,zˈe,lʊ
zelosamente,"['ze', 'lo', 'sa', 'men', 'te']",ze·lo·sa·men·te,advérbio,"['ze', 'lo', 'zã', 'mˈẽ', 'tʃɪ']",ze.lo.zã.mˈẽ.tʃɪ,2,penultima,zã,mˈẽ,tʃɪ
zeloso,"['ze', 'lo', 'so']",ze·lo·so,adjetivo,"['ze', 'lˈo', 'zʊ']",ze.lˈo.zʊ,2,penultima,ze,lˈo,zʊ
zen,['zen'],zen,nome masculino,[''],,1,ultima,,,
zen,['zen'],zen,adjetivo,[''],,1,ultima,,,
zenda,"['zen', 'da']",zen·da,nome masculino,"['zˈẽ', 'dɐ']",zˈẽ.dɐ,2,penultima,,zˈẽ,dɐ
zende,"['zen', 'de']",zen·de,nome masculino,"['zˈẽ', 'dʒɪ']",zˈẽ.dʒɪ,2,penultima,,zˈẽ,dʒɪ
zenir,"['ze', 'nir']",ze·nir,verbo,"['zẽ', 'nˈi']",zẽ.nˈi,1,ultima,,zẽ,nˈi
zenital,"['ze', 'ni', 'tal']",ze·ni·tal,adjetivo,"['zẽ', 'ni', 'tˈaw']",zẽ.ni.tˈaw,1,ultima,zẽ,ni,tˈaw
zénite,"['zé', 'ni', 'te']",zé·ni·te,nome masculino,"['zˈɛ̃', 'ni', 'tʃɪ']",zˈɛ̃.ni.tʃɪ,3,antepenultima,zˈɛ̃,ni,tʃɪ
zepelim,"['ze', 'pe', 'lim']",ze·pe·lim,nome masculino,"['ze', 'pe', 'lˈĩ']",ze.pe.lˈĩ,1,ultima,ze,pe,lˈĩ
zero,"['ze', 'ro']",ze·ro,nome masculino,"['zˈɛ', 'ɾʊ']",zˈɛ.ɾʊ,2,penultima,,zˈɛ,ɾʊ
