palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
especialista,"['es', 'pe', 'ci', 'a', 'lis', 'ta']",es·pe·ci·a·lis·ta,adjetivo,"['iʃ', 'pe', 'si', 'a', 'lˈiʃ', 'tɐ']",iʃ.pe.si.a.lˈiʃ.tɐ,2,penultima,a,lˈiʃ,tɐ
especialista,"['es', 'pe', 'ci', 'a', 'lis', 'ta']",es·pe·ci·a·lis·ta,nome masculino,"['iʃ', 'pe', 'si', 'a', 'lˈiʃ', 'tɐ']",iʃ.pe.si.a.lˈiʃ.tɐ,2,penultima,a,lˈiʃ,tɐ
especialista,"['es', 'pe', 'ci', 'a', 'lis', 'ta']",es·pe·ci·a·lis·ta,nome feminino,"['iʃ', 'pe', 'si', 'a', 'lˈiʃ', 'tɐ']",iʃ.pe.si.a.lˈiʃ.tɐ,2,penultima,a,lˈiʃ,tɐ
especialização,"['es', 'pe', 'ci', 'a', 'li', 'za', 'ção']",es·pe·ci·a·li·za·ção,nome feminino,"['iʃ', 'pe', 'si', 'a', 'li', 'za', 'sˈɐ̃w']",iʃ.pe.si.a.li.za.sˈɐ̃w,1,ultima,li,za,sˈɐ̃w
especializado,"['es', 'pe', 'ci', 'a', 'li', 'za', 'do']",es·pe·ci·a·li·za·do,adjetivo,"['iʃ', 'pe', 'si', 'a', 'li', 'zˈa', 'dʊ']",iʃ.pe.si.a.li.zˈa.dʊ,2,penultima,li,zˈa,dʊ
especializar,"['es', 'pe', 'ci', 'a', 'li', 'zar']",es·pe·ci·a·li·zar,verbo,"['iʃ', 'pe', 'si', 'a', 'li', 'zˈa']",iʃ.pe.si.a.li.zˈa,1,ultima,a,li,zˈa
especialmente,"['es', 'pe', 'ci', 'al', 'men', 'te']",es·pe·ci·al·men·te,advérbio,"['iʃ', 'pe', 'si', 'aw', 'mˈẽ', 'tʃɪ']",iʃ.pe.si.aw.mˈẽ.tʃɪ,2,penultima,aw,mˈẽ,tʃɪ
especiaria,"['es', 'pe', 'ci', 'a', 'ri', 'a']",es·pe·ci·a·ri·a,nome feminino,"['iʃ', 'pe', 'si', 'a', 'ɾˈi', 'ɐ']",iʃ.pe.si.a.ɾˈi.ɐ,2,penultima,a,ɾˈi,ɐ
espécie,"['es', 'pé', 'ci', 'e']",es·pé·ci·e,nome feminino,"['iʃ', 'pˈɛ', 'sɪ']",iʃ.pˈɛ.sɪ,3,antepenultima,iʃ,pˈɛ,sɪ
especificação,"['es', 'pe', 'ci', 'fi', 'ca', 'ção']",es·pe·ci·fi·ca·ção,nome feminino,"['iʃ', 'pe', 'si', 'fi', 'ka', 'sˈɐ̃w']",iʃ.pe.si.fi.ka.sˈɐ̃w,1,ultima,fi,ka,sˈɐ̃w
