palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
intimidativo,"['in', 'ti', 'mi', 'da', 'ti', 'vo']",in·ti·mi·da·ti·vo,adjetivo,"['ĩ', 'tʃĩ', 'mi', 'da', 'tʃˈi', 'vʊ']",ĩ.tʃĩ.mi.da.tʃˈi.vʊ,2,penultima,da,tʃˈi,vʊ
intimidatório,"['in', 'ti', 'mi', 'da', 'tó', 'ri', 'o']",in·ti·mi·da·tó·ri·o,adjetivo,"['ĩ', 'tʃĩ', 'mi', 'da', 'tˈɔ', 'ɾjʊ']",ĩ.tʃĩ.mi.da.tˈɔ.ɾjʊ,3,antepenultima,da,tˈɔ,ɾjʊ
intimismo,"['in', 'ti', 'mis', 'mo']",in·ti·mis·mo,nome masculino,"['ĩ', 'tʃĩ', 'mˈiʒ', 'mʊ']",ĩ.tʃĩ.mˈiʒ.mʊ,2,penultima,tʃĩ,mˈiʒ,mʊ
intimista,"['in', 'ti', 'mis', 'ta']",in·ti·mis·ta,adjetivo,"['ĩ', 'tʃĩ', 'mˈiʃ', 'tɐ']",ĩ.tʃĩ.mˈiʃ.tɐ,2,penultima,tʃĩ,mˈiʃ,tɐ
intimista,"['in', 'ti', 'mis', 'ta']",in·ti·mis·ta,nome feminino,"['ĩ', 'tʃĩ', 'mˈiʃ', 'tɐ']",ĩ.tʃĩ.mˈiʃ.tɐ,2,penultima,tʃĩ,mˈiʃ,tɐ
intimista,"['in', 'ti', 'mis', 'ta']",in·ti·mis·ta,nome masculino,"['ĩ', 'tʃĩ', 'mˈiʃ', 'tɐ']",ĩ.tʃĩ.mˈiʃ.tɐ,2,penultima,tʃĩ,mˈiʃ,tɐ
íntimo,"['ín', 'ti', 'mo']",ín·ti·mo,nome masculino,"['ˈĩ', 'tʃĩ', 'mʊ']",ˈĩ.tʃĩ.mʊ,3,antepenultima,ˈĩ,tʃĩ,mʊ
íntimo,"['ín', 'ti', 'mo']",ín·ti·mo,adjetivo,"['ˈĩ', 'tʃĩ', 'mʊ']",ˈĩ.tʃĩ.mʊ,3,antepenultima,ˈĩ,tʃĩ,mʊ
intimorato,"['in', 'ti', 'mo', 'ra', 'to']",in·ti·mo·ra·to,adjetivo,"['ĩ', 'tʃĩ', 'mo', 'ɾˈa', 'tʊ']",ĩ.tʃĩ.mo.ɾˈa.tʊ,2,penultima,mo,ɾˈa,tʊ
intina,"['in', 'ti', 'na']",in·ti·na,nome feminino,"['ĩ', 'tʃˈĩ', 'nɐ']",ĩ.tʃˈĩ.nɐ,2,penultima,ĩ,tʃˈĩ,nɐ
