palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
campesino,"['cam', 'pe', 'si', 'no']",cam·pe·si·no,nome masculino,"['kɐ̃', 'pe', 'zˈĩ', 'nʊ']",kɐ̃.pe.zˈĩ.nʊ,2,penultima,pe,zˈĩ,nʊ
campestre,"['cam', 'pes', 'tre']",cam·pes·tre,nome masculino,"['kɐ̃', 'pˈɛʃ', 'tɾɪ']",kɐ̃.pˈɛʃ.tɾɪ,2,penultima,kɐ̃,pˈɛʃ,tɾɪ
campestre,"['cam', 'pes', 'tre']",cam·pes·tre,adjetivo,"['kɐ̃', 'pˈɛʃ', 'tɾɪ']",kɐ̃.pˈɛʃ.tɾɪ,2,penultima,kɐ̃,pˈɛʃ,tɾɪ
campina,"['cam', 'pi', 'na']",cam·pi·na,nome feminino,"['kɐ̃', 'pˈĩ', 'nɐ']",kɐ̃.pˈĩ.nɐ,2,penultima,kɐ̃,pˈĩ,nɐ
campino,"['cam', 'pi', 'no']",cam·pi·no,adjetivo,"['kɐ̃', 'pˈĩ', 'nʊ']",kɐ̃.pˈĩ.nʊ,2,penultima,kɐ̃,pˈĩ,nʊ
campino,"['cam', 'pi', 'no']",cam·pi·no,nome masculino,"['kɐ̃', 'pˈĩ', 'nʊ']",kɐ̃.pˈĩ.nʊ,2,penultima,kɐ̃,pˈĩ,nʊ
campir,"['cam', 'pir']",cam·pir,verbo,"['kɐ̃', 'pˈi']",kɐ̃.pˈi,1,ultima,,kɐ̃,pˈi
campismo,"['cam', 'pis', 'mo']",cam·pis·mo,nome masculino,"['kɐ̃', 'pˈiʒ', 'mʊ']",kɐ̃.pˈiʒ.mʊ,2,penultima,kɐ̃,pˈiʒ,mʊ
campista,"['cam', 'pis', 'ta']",cam·pis·ta,nome masculino,"['kɐ̃', 'pˈiʃ', 'tɐ']",kɐ̃.pˈiʃ.tɐ,2,penultima,kɐ̃,pˈiʃ,tɐ
campista,"['cam', 'pis', 'ta']",cam·pis·ta,nome feminino,"['kɐ̃', 'pˈiʃ', 'tɐ']",kɐ̃.pˈiʃ.tɐ,2,penultima,kɐ̃,pˈiʃ,tɐ
campista,"['cam', 'pis', 'ta']",cam·pis·ta,adjetivo,"['kɐ̃', 'pˈiʃ', 'tɐ']",kɐ̃.pˈiʃ.tɐ,2,penultima,kɐ̃,pˈiʃ,tɐ
campo,"['cam', 'po']",cam·po,nome masculino,"['kˈɐ̃', 'pʊ']",kˈɐ̃.pʊ,2,penultima,,kˈɐ̃,pʊ
campo-maiorense,"['cam', 'po', 'mai', 'o', 'ren', 'se']",cam·po-mai·o·ren·se,adjetivo,"['kˌɐ̃', 'pʊ', 'maj', 'o', 'ɾˈẽ', 'sɪ']",kˌɐ̃.pʊ.maj.o.ɾˈẽ.sɪ,2,penultima,o,ɾˈẽ,sɪ
campo-santo,"['cam', 'po', 'san', 'to']",cam·po-san·to,nome masculino,"['kˌɐ̃', 'pʊ', 'sˈɐ̃', 'tʊ']",kˌɐ̃.pʊ.sˈɐ̃.tʊ,2,penultima,pʊ,sˈɐ̃,tʊ
camponês,"['cam', 'po', 'nês']",cam·po·nês,adjetivo,"['kɐ̃', 'põ', 'nˈeʃ']",kɐ̃.põ.nˈeʃ,1,ultima,kɐ̃,põ,nˈeʃ
camponês,"['cam', 'po', 'nês']",cam·po·nês,nome masculino,"['kɐ̃', 'põ', 'nˈeʃ']",kɐ̃.põ.nˈeʃ,1,ultima,kɐ̃,põ,nˈeʃ
camponesa,"['cam', 'po', 'ne', 'sa']",cam·po·ne·sa,nome feminino,"['kɐ̃', 'põ', 'nˈe', 'zɐ']",kɐ̃.põ.nˈe.zɐ,2,penultima,põ,nˈe,zɐ
campónia,"['cam', 'pó', 'ni', 'a']",cam·pó·ni·a,nome feminino,"['kɐ̃', 'pˈɔ̃', 'njɐ']",kɐ̃.pˈɔ̃.njɐ,3,antepenultima,kɐ̃,pˈɔ̃,njɐ
