palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
prisioneiro,"['pri', 'si', 'o', 'nei', 'ro']",pri·si·o·nei·ro,nome masculino,"['pɾi', 'zjõ', 'nˈej', 'ɾʊ']",pɾi.zjõ.nˈej.ɾʊ,2,penultima,zjõ,nˈej,ɾʊ
prisma,"['pris', 'ma']",pris·ma,nome masculino,"['pɾˈiʒ', 'mɐ']",pɾˈiʒ.mɐ,2,penultima,,pɾˈiʒ,mɐ
prismático,"['pris', 'má', 'ti', 'co']",pris·má·ti·co,adjetivo,"['pɾiʒ', 'mˈa', 'tʃi', 'kʊ']",pɾiʒ.mˈa.tʃi.kʊ,3,antepenultima,mˈa,tʃi,kʊ
prisoneiro,"['pri', 'so', 'nei', 'ro']",pri·so·nei·ro,adjetivo,"['pɾi', 'zõ', 'nˈej', 'ɾʊ']",pɾi.zõ.nˈej.ɾʊ,2,penultima,zõ,nˈej,ɾʊ
prisoneiro,"['pri', 'so', 'nei', 'ro']",pri·so·nei·ro,nome masculino,"['pɾi', 'zõ', 'nˈej', 'ɾʊ']",pɾi.zõ.nˈej.ɾʊ,2,penultima,zõ,nˈej,ɾʊ
privação,"['pri', 'va', 'ção']",pri·va·ção,nome feminino,"['pɾi', 'va', 'sˈɐ̃w']",pɾi.va.sˈɐ̃w,1,ultima,pɾi,va,sˈɐ̃w
privacidade,"['pri', 'va', 'ci', 'da', 'de']",pri·va·ci·da·de,nome feminino,"['pɾi', 'va', 'si', 'dˈa', 'dʒɪ']",pɾi.va.si.dˈa.dʒɪ,2,penultima,si,dˈa,dʒɪ
privada,"['pri', 'va', 'da']",pri·va·da,nome feminino,"['pɾi', 'vˈa', 'dɐ']",pɾi.vˈa.dɐ,2,penultima,pɾi,vˈa,dɐ
privadamente,"['pri', 'va', 'da', 'men', 'te']",pri·va·da·men·te,advérbio,"['pɾi', 'va', 'dã', 'mˈẽ', 'tʃɪ']",pɾi.va.dã.mˈẽ.tʃɪ,2,penultima,dã,mˈẽ,tʃɪ
privado,"['pri', 'va', 'do']",pri·va·do,adjetivo,"['pɾi', 'vˈa', 'dʊ']",pɾi.vˈa.dʊ,2,penultima,pɾi,vˈa,dʊ
