palavra,divisao,categoria,fonetica,tonic
untuoso,"['un', 'tu', 'o', 'so']",adjetivo,"['ũ', 'tu', 'ˈo', 'zʊ']",2
upa,"['u', 'pa']",interjeição,"['ˈu', 'pɐ']",2
upa,"['u', 'pa']",nome feminino,"['ˈu', 'pɐ']",2
upar,"['u', 'par']",verbo,"['u', 'pˈa']",1
upgrade,"['up', 'gra', 'de']",nome masculino,[''],2
ura,"['u', 'ra']",nome feminino,"['ˈu', 'ɾɐ']",2
uracilo,"['u', 'ra', 'ci', 'lo']",nome masculino,"['u', 'ɾa', 'sˈi', 'lʊ']",2
uralita,"['u', 'ra', 'li', 'ta']",nome feminino,"['u', 'ɾa', 'lˈi', 'tɐ']",2
urânico,"['u', 'râ', 'ni', 'co']",adjetivo,"['u', 'ɾˈɐ̃', 'ni', 'kʊ']",3
urânio,"['u', 'râ', 'ni', 'o']",nome masculino,"['u', 'ɾˈɐ̃', 'njʊ']",3
urbana,"['ur', 'ba', 'na']",nome feminino,"['uɦ', 'bˈɐ̃', 'nɐ']",2
urbanamente,"['ur', 'ba', 'na', 'men', 'te']",advérbio,"['uɦ', 'bã', 'nã', 'mˈẽ', 'tʃɪ']",2
urbanidade,"['ur', 'ba', 'ni', 'da', 'de']",nome feminino,"['uɦ', 'bã', 'ni', 'dˈa', 'dʒɪ']",2
urbanismo,"['ur', 'ba', 'nis', 'mo']",nome masculino,"['uɦ', 'bã', 'nˈiʒ', 'mʊ']",2
urbanista,"['ur', 'ba', 'nis', 'ta']",adjetivo,"['uɦ', 'bã', 'nˈiʃ', 'tɐ']",2
urbanista,"['ur', 'ba', 'nis', 'ta']",nome masculino,"['uɦ', 'bã', 'nˈiʃ', 'tɐ']",2
urbanista,"['ur', 'ba', 'nis', 'ta']",nome feminino,"['uɦ', 'bã', 'nˈiʃ', 'tɐ']",2
urbanisticamente,"['ur', 'ba', 'nis', 'ti', 'ca', 'men', 'te']",advérbio,"['uɦ', 'bã', 'niʃ', 'tʃi', 'kã', 'mˈẽ', 'tʃɪ']",2
urbanístico,"['ur', 'ba', 'nís', 'ti', 'co']",adjetivo,"['uɦ', 'bã', 'nˈiʃ', 'tʃi', 'kʊ']",3
urbanita,"['ur', 'ba', 'ni', 'ta']",adjetivo,"['uɦ', 'bã', 'nˈi', 'tɐ']",2
urbanita,"['ur', 'ba', 'ni', 'ta']",nome masculino,"['uɦ', 'bã', 'nˈi', 'tɐ ou uɦ', 'bã', 'nˈi', 'tɐ']",2
urbanização,"['ur', 'ba', 'ni', 'za', 'ção']",nome feminino,"['uɦ', 'bã', 'ni', 'za', 'sˈɐ̃w']",1
urbanizado,"['ur', 'ba', 'ni', 'za', 'do']",adjetivo,"['uɦ', 'bã', 'ni', 'zˈa', 'dʊ']",2
urbanizador,"['ur', 'ba', 'ni', 'za', 'dor']",adjetivo,"['uɦ', 'bã', 'ni', 'za', 'dˈo']",1
urbanizar,"['ur', 'ba', 'ni', 'zar']",verbo,"['uɦ', 'bã', 'ni', 'zˈa']",1
urbano,"['ur', 'ba', 'no']",nome masculino,"['uɦ', 'bˈɐ̃', 'nʊ']",2
urbano,"['ur', 'ba', 'no']",adjetivo,"['uɦ', 'bˈɐ̃', 'nʊ']",2
urbe,"['ur', 'be']",nome feminino,"['ˈuɦ', 'bɪ']",2
urca,"['ur', 'ca']",nome feminino,"['ˈuh', 'kɐ']",2
urca,"['ur', 'ca']",adjetivo,"['ˈuh', 'kɐ']",2
urdido,"['ur', 'di', 'do']",adjetivo,"['uɦ', 'dʒˈi', 'dʊ']",2
urdidura,"['ur', 'di', 'du', 'ra']",nome feminino,"['uɦ', 'dʒi', 'dˈu', 'ɾɐ']",2
urdir,"['ur', 'dir']",verbo,"['uɦ', 'dʒˈi']",1
urdu,"['ur', 'du']",nome masculino,"['uɦ', 'dˈu']",1
ureia,"['u', 'rei', 'a']",nome feminino,"['u', 'ɾˈej', 'ɐ']",2
uremia,"['u', 're', 'mi', 'a']",nome feminino,"['u', 'ɾẽ', 'mˈi', 'ɐ']",2
uréter,"['u', 'ré', 'ter']",nome masculino,"['u', 'ɾˈɛ', 'tɛ']",2
uretra,"['u', 're', 'tra']",nome feminino,"['u', 'ɾˈɛ', 'tɾɐ']",2
uretrite,"['u', 're', 'tri', 'te']",nome feminino,"['u', 'ɾe', 'tɾˈi', 'tʃɪ']",2
