palavra,divisao,categoria,fonetica,tonic
baptista,"['bap', 'tis', 'ta']",nome masculino,"['ba', 'pi', 'tʃˈiʃ', 'tɐ ou ba', 'pi', 'tʃˈiʃ', 'tɐ']",2
baque,"['ba', 'que']",nome masculino,"['bˈa', 'kɪ']",2
baqueado,"['ba', 'que', 'a', 'do']",adjetivo,"['ba', 'ki', 'ˈa', 'dʊ']",2
baquear,"['ba', 'que', 'ar']",verbo,"['ba', 'ki', 'ˈa']",1
baquelite,"['ba', 'que', 'li', 'te']",nome feminino,"['ba', 'ke', 'lˈi', 'tʃɪ']",2
baqueta,"['ba', 'que', 'ta']",nome feminino,"['ba', 'kˈe', 'tɐ']",2
baquetar,"['ba', 'que', 'tar']",verbo,"['ba', 'ke', 'tˈa']",1
baquicamente,"['ba', 'qui', 'ca', 'men', 'te']",advérbio,"['ba', 'ki', 'kã', 'mˈẽ', 'tʃɪ']",2
báquico,"['bá', 'qui', 'co']",adjetivo,"['bˈa', 'ki', 'kʊ']",3
bar,['bar'],nome masculino,['bˈa'],1
baraça,"['ba', 'ra', 'ça']",nome feminino,"['ba', 'ɾˈa', 'sɐ']",2
baracha,"['ba', 'ra', 'cha']",nome feminino,"['ba', 'ɾˈa', 'ʃɐ']",2
barachar,"['ba', 'ra', 'char']",verbo,"['ba', 'ɾa', 'ʃˈa']",1
baraço,"['ba', 'ra', 'ço']",nome masculino,"['ba', 'ɾˈa', 'sʊ']",2
barafunda,"['ba', 'ra', 'fun', 'da']",nome feminino,"['ba', 'ɾa', 'fˈũ', 'dɐ']",2
barafundido,"['ba', 'ra', 'fun', 'di', 'do']",adjetivo,"['ba', 'ɾa', 'fũ', 'dʒˈi', 'dʊ']",2
barafusta,"['ba', 'ra', 'fus', 'ta']",nome feminino,"['ba', 'ɾa', 'fˈuʃ', 'tɐ']",2
barafustar,"['ba', 'ra', 'fus', 'tar']",verbo,"['ba', 'ɾa', 'fuʃ', 'tˈa']",1
baralha,"['ba', 'ra', 'lha']",nome feminino,"['ba', 'ɾˈa', 'ʎɐ']",2
baralhada,"['ba', 'ra', 'lha', 'da']",nome feminino,"['ba', 'ɾa', 'ʎˈa', 'dɐ']",2
baralhado,"['ba', 'ra', 'lha', 'do']",adjetivo,"['ba', 'ɾa', 'ʎˈa', 'dʊ']",2
baralhar,"['ba', 'ra', 'lhar']",verbo,"['ba', 'ɾa', 'ʎˈa']",1
baralho,"['ba', 'ra', 'lho']",nome masculino,"['ba', 'ɾˈa', 'ʎʊ']",2
barão,"['ba', 'rão']",nome masculino,"['ba', 'ɾˈɐ̃w']",1
barata,"['ba', 'ra', 'ta']",nome feminino,"['ba', 'ɾˈa', 'tɐ']",2
baratamente,"['ba', 'ra', 'ta', 'men', 'te']",advérbio,"['ba', 'ɾa', 'tã', 'mˈẽ', 'tʃɪ']",2
baratar,"['ba', 'ra', 'tar']",verbo,"['ba', 'ɾa', 'tˈa']",1
barateira,"['ba', 'ra', 'tei', 'ra']",nome feminino,"['ba', 'ɾa', 'tˈej', 'ɾɐ']",2
barateiro,"['ba', 'ra', 'tei', 'ro']",adjetivo,"['ba', 'ɾa', 'tˈej', 'ɾʊ']",2
barateiro,"['ba', 'ra', 'tei', 'ro']",nome masculino,"['ba', 'ɾa', 'tˈej', 'ɾʊ']",2
barateza,"['ba', 'ra', 'te', 'za']",nome feminino,"['ba', 'ɾa', 'tˈe', 'zɐ']",2
baratinar,"['ba', 'ra', 'ti', 'nar']",verbo,"['ba', 'ɾa', 'tʃĩ', 'nˈa']",1
baratinha,"['ba', 'ra', 'ti', 'nha']",nome feminino,"['ba', 'ɾa', 'tʃˈĩ', 'ɲɐ']",2
barato,"['ba', 'ra', 'to']",adjetivo,"['ba', 'ɾˈa', 'tʊ']",2
barato,"['ba', 'ra', 'to']",nome masculino,"['ba', 'ɾˈa', 'tʊ']",2
barato,"['ba', 'ra', 'to']",advérbio,"['ba', 'ɾˈa', 'tʊ']",2
barba,"['bar', 'ba']",nome feminino,"['bˈaɦ', 'bɐ']",2
barba-azul,"['bar', 'ba', 'a', 'zul']",nome masculino,"['bˌaɦ', 'bɐ', 'a', 'zˈuw']",1
barbacã,"['bar', 'ba', 'cã']",nome feminino,"['baɦ', 'ba', 'kˈɐ̃']",1
barbada,"['bar', 'ba', 'da']",nome feminino,"['baɦ', 'bˈa', 'dɐ']",2
barbadinho,"['bar', 'ba', 'di', 'nho']",nome masculino,"['baɦ', 'ba', 'dʒˈĩ', 'ɲʊ']",2
barbadinho,"['bar', 'ba', 'di', 'nho']",adjetivo,"['baɦ', 'ba', 'dʒˈĩ', 'ɲʊ']",2
barbado,"['bar', 'ba', 'do']",nome masculino,"['baɦ', 'bˈa', 'dʊ']",2
barbado,"['bar', 'ba', 'do']",adjetivo,"['baɦ', 'bˈa', 'dʊ']",2
barbante,"['bar', 'ban', 'te']",nome masculino,"['baɦ', 'bˈɐ̃', 'tʃɪ']",2
barbar,"['bar', 'bar']",verbo,"['baɦ', 'bˈa']",1
