palavra,divisao,categoria,fonetica,tonic
abundância,"['a', 'bun', 'dân', 'ci', 'a']",nome feminino,"['a', 'bũ', 'dˈɐ̃', 'sjɐ']",3
abundante,"['a', 'bun', 'dan', 'te']",adjetivo,"['a', 'bũ', 'dˈɐ̃', 'tʃɪ']",2
abundantemente,"['a', 'bun', 'dan', 'te', 'men', 'te']",advérbio,"['a', 'bũ', 'dɐ̃', 'tẽ', 'mˈẽ', 'tʃɪ']",2
abundar,"['a', 'bun', 'dar']",verbo,"['a', 'bũ', 'dˈa']",1
abunhar,"['a', 'bu', 'nhar']",verbo,"['a', 'bũ', 'ɲˈaɾ']",1
aburguesado,"['a', 'bur', 'gue', 'sa', 'do']",adjetivo,"['a', 'buɦ', 'ge', 'zˈa', 'dʊ']",2
aburguesamento,"['a', 'bur', 'gue', 'sa', 'men', 'to']",nome masculino,"['a', 'buɦ', 'ge', 'zã', 'mˈẽ', 'tʊ']",2
aburguesar,"['a', 'bur', 'gue', 'sar']",verbo,"['a', 'buɦ', 'ge', 'zˈa']",1
aburrar,"['a', 'bur', 'rar']",verbo,"['a', 'bu', 'ɦˈaɾ']",1
aburu,"['a', 'bu', 'ru']",nome masculino,"['a', 'bu', 'ɾˈu']",3
abusadamente,"['a', 'bu', 'sa', 'da', 'men', 'te']",advérbio,"['a', 'bu', 'za', 'dã', 'mˈẽ', 'tʃɪ']",2
abusado,"['a', 'bu', 'sa', 'do']",adjetivo,"['a', 'bu', 'zˈa', 'dʊ']",2
abusador,"['a', 'bu', 'sa', 'dor']",adjetivo,"['a', 'bu', 'za', 'dˈo']",1
abusador,"['a', 'bu', 'sa', 'dor']",nome masculino,"['a', 'bu', 'za', 'dˈo']",1
abusadora,"['a', 'bu', 'sa', 'do', 'ra']",nome feminino,"['a', 'bu', 'za', 'dˈo', 'ɾɐ']",2
abusar,"['a', 'bu', 'sar']",verbo,"['a', 'bu', 'zˈa']",1
abusivamente,"['a', 'bu', 'si', 'va', 'men', 'te']",advérbio,"['a', 'bu', 'zi', 'vã', 'mˈẽ', 'tʃɪ']",2
abusivo,"['a', 'bu', 'si', 'vo']",adjetivo,"['a', 'bu', 'zˈi', 'vʊ']",2
abuso,"['a', 'bu', 'so']",nome masculino,"['a', 'bˈu', 'zʊ']",2
abuta,"['a', 'bu', 'ta']",nome feminino,"['a', 'bˈu', 'tɐ']",2
abutre,"['a', 'bu', 'tre']",nome masculino,"['a', 'bˈu', 'tɾɪ']",2
aca,"['a', 'ca']",nome masculino,"['ˈa', 'kɐ']",2
acabaçado,"['a', 'ca', 'ba', 'ça', 'do']",adjetivo,"['a', 'ka', 'ba', 'sˈa', 'dʊ']",2
acabaçar,"['a', 'ca', 'ba', 'çar']",verbo,"['a', 'ka', 'ba', 'sˈa']",1
acabadamente,"['a', 'ca', 'ba', 'da', 'men', 'te']",advérbio,"['a', 'ka', 'ba', 'dã', 'mˈẽ', 'tʃɪ']",2
acabado,"['a', 'ca', 'ba', 'do']",adjetivo,"['a', 'ka', 'bˈa', 'dʊ']",2
acabado,"['a', 'ca', 'ba', 'do']",nome masculino,"['a', 'ka', 'bˈa', 'dʊ']",2
acabamento,"['a', 'ca', 'ba', 'men', 'to']",nome masculino,"['a', 'ka', 'bã', 'mˈẽ', 'tʊ']",2
acabanado,"['a', 'ca', 'ba', 'na', 'do']",adjetivo,"['a', 'ka', 'bã', 'nˈa', 'dʊ']",2
acabanar,"['a', 'ca', 'ba', 'nar']",verbo,"['a', 'ka', 'bã', 'nˈa']",1
acabar,"['a', 'ca', 'bar']",verbo,"['a', 'ka', 'bˈa']",1
acabrunhadamente,"['a', 'ca', 'bru', 'nha', 'da', 'men', 'te']",advérbio,"['a', 'ka', 'bɾũ', 'ɲa', 'dã', 'mˈẽ', 'tʃɪ']",2
acabrunhado,"['a', 'ca', 'bru', 'nha', 'do']",adjetivo,"['a', 'ka', 'bɾũ', 'ɲˈa', 'dʊ']",2
acabrunhamento,"['a', 'ca', 'bru', 'nha', 'men', 'to']",nome masculino,"['a', 'ka', 'bɾũ', 'ɲã', 'mˈẽ', 'tʊ']",2
acabrunhante,"['a', 'ca', 'bru', 'nhan', 'te']",adjetivo,"['a', 'ka', 'bɾũ', 'ɲˈɐ̃', 'tʃɪ']",2
acabrunhar,"['a', 'ca', 'bru', 'nhar']",verbo,"['a', 'ka', 'bɾũ', 'ɲˈa']",1
acácia,"['a', 'cá', 'ci', 'a']",nome feminino,"['a', 'kˈa', 'sjɐ']",3
acacianamente,"['a', 'ca', 'ci', 'a', 'na', 'men', 'te']",advérbio,"['a', 'ka', 'si', 'ã', 'nã', 'mˈẽ', 'tʃɪ']",2
acaciano,"['a', 'ca', 'ci', 'a', 'no']",adjetivo,"['a', 'ka', 'si', 'ˈɐ̃', 'nʊ']",2
acaciano,"['a', 'ca', 'ci', 'a', 'no']",nome masculino,"['a', 'ka', 'si', 'ˈɐ̃', 'nʊ']",2
académia,"['a', 'ca', 'dé', 'mi', 'a']",nome feminino,"['a', 'ka', 'dˈɛ̃', 'mjɐ']",3
acadêmia,"['a', 'ca', 'dê', 'mi', 'a']",nome feminino,"['a', 'ka', 'dˈẽ', 'mjɐ']",3
academia,"['a', 'ca', 'de', 'mi', 'a']",nome feminino,"['a', 'ka', 'dẽ', 'mˈi', 'ɐ']",2
academiar,"['a', 'ca', 'de', 'mi', 'ar']",verbo,"['a', 'ka', 'dẽ', 'mi', 'ˈa']",1
