palavra,divisao,categoria,fonetica,tonic
pagamento,"['pa', 'ga', 'men', 'to']",nome masculino,"['pa', 'gã', 'mˈẽ', 'tʊ']",2
paganismo,"['pa', 'ga', 'nis', 'mo']",nome masculino,"['pa', 'gã', 'nˈiʒ', 'mʊ']",2
pagante,"['pa', 'gan', 'te']",adjetivo,"['pa', 'gˈɐ̃', 'tʃɪ']",2
pagante,"['pa', 'gan', 'te']",nome masculino,"['pa', 'gˈɐ̃', 'tʃɪ']",2
pagante,"['pa', 'gan', 'te']",nome feminino,"['pa', 'gˈɐ̃', 'tʃɪ']",2
pagão,"['pa', 'gão']",adjetivo,"['pa', 'gˈɐ̃w']",1
pagão,"['pa', 'gão']",nome masculino,"['pa', 'gˈɐ̃w']",1
pagar,"['pa', 'gar']",verbo,"['pa', 'gˈa']",1
pagável,"['pa', 'gá', 'vel']",adjetivo,"['pa', 'gˈa', 'vew']",2
pagela,"['pa', 'ge', 'la']",nome feminino,"['pa', 'ʒˈɛ', 'lɐ']",2
pager,"['pa', 'ger']",nome masculino,[''],2
página,"['pá', 'gi', 'na']",nome feminino,"['pˈa', 'ʒĩ', 'nɐ']",3
paginação,"['pa', 'gi', 'na', 'ção']",nome feminino,"['pa', 'ʒĩ', 'na', 'sˈɐ̃w']",1
paginado,"['pa', 'gi', 'na', 'do']",adjetivo,"['pa', 'ʒĩ', 'nˈa', 'dʊ']",2
paginador,"['pa', 'gi', 'na', 'dor']",nome masculino,"['pa', 'ʒĩ', 'na', 'dˈo']",1
paginar,"['pa', 'gi', 'nar']",verbo,"['pa', 'ʒĩ', 'nˈa']",1
pago,"['pa', 'go']",nome masculino,"['pˈa', 'gʊ']",2
pago,"['pa', 'go']",adjetivo,"['pˈa', 'gʊ']",2
pagode,"['pa', 'go', 'de']",nome masculino,"['pa', 'gˈɔ', 'dʒɪ']",2
pai,['pai'],nome masculino,['pˈaj'],1
pai de santo,"['pai de san', 'to']",nome masculino,"['pˌaj', 'dʒi', 'sˈɐ̃', 'tʊ']",2
pai-nosso,"['pai', 'nos', 'so']",nome masculino,"['pˌaj', 'nˈɔ', 'sʊ']",2
pai-velho,"['pai', 've', 'lho']",nome masculino,"['pˌaj', 'vˈɛ', 'ʎʊ']",2
paim,"['pa', 'im']",nome masculino,"['pa', 'ˈĩ']",1
