palavra,divisao,categoria,fonetica,tonic
jardim de infância,"['jar', 'dim de in', 'fân', 'ci', 'a']",nome masculino,"['ʒaɦ', 'dʒˌĩ', 'dʒi', 'ĩ', 'fˈɐ̃', 'sjɐ']",2
jardim-escola,"['jar', 'dim', 'es', 'co', 'la']",nome masculino,"['ʒaɦ', 'dʒˌĩ', 'iʃ', 'kˈɔ', 'lɐ']",2
jardinagem,"['jar', 'di', 'na', 'gem']",nome feminino,"['ʒaɦ', 'dʒĩ', 'nˈa', 'ʒẽj']",2
jardinar,"['jar', 'di', 'nar']",verbo,"['ʒaɦ', 'dʒĩ', 'nˈa']",1
jardineira,"['jar', 'di', 'nei', 'ra']",nome feminino,"['ʒaɦ', 'dʒĩ', 'nˈej', 'ɾɐ']",2
jardineiro,"['jar', 'di', 'nei', 'ro']",nome masculino,"['ʒaɦ', 'dʒĩ', 'nˈej', 'ɾʊ']",2
jardineiro,"['jar', 'di', 'nei', 'ro']",adjetivo,"['ʒaɦ', 'dʒĩ', 'nˈej', 'ɾʊ']",2
jardinista,"['jar', 'di', 'nis', 'ta']",nome masculino,"['ʒaɦ', 'dʒĩ', 'nˈiʃ', 'tɐ']",2
jardinista,"['jar', 'di', 'nis', 'ta']",nome feminino,"['ʒaɦ', 'dʒĩ', 'nˈiʃ', 'tɐ']",2
jargão,"['jar', 'gão']",nome masculino,"['ʒaɦ', 'gˈɐ̃w']",1
jaro,"['ja', 'ro']",nome masculino,"['ʒˈa', 'ɾʊ']",2
jarra,"['jar', 'ra']",nome feminino,"['ʒˈa', 'ɦɐ']",2
jarra,"['jar', 'ra']",nome masculino,"['ʒˈa', 'ɦɐ']",2
jarrão,"['jar', 'rão']",nome masculino,"['ʒa', 'ɦˈɐ̃w']",1
jarreta,"['jar', 're', 'ta']",nome masculino,"['ʒa', 'ɦˈe', 'tɐ ou ʒa', 'ɦˈe', 'tɐ']",2
jarreta,"['jar', 're', 'ta']",adjetivo,"['ʒa', 'ɦˈe', 'tɐ']",2
jarretar,"['jar', 're', 'tar']",verbo,"['ʒa', 'ɦe', 'tˈa']",1
jarrete,"['jar', 're', 'te']",nome masculino,"['ʒa', 'ɦˈe', 'tʃɪ']",2
jarreteira,"['jar', 're', 'tei', 'ra']",nome feminino,"['ʒa', 'ɦe', 'tˈej', 'ɾɐ']",2
jarrinha,"['jar', 'ri', 'nha']",nome feminino,"['ʒa', 'ɦˈĩ', 'ɲɐ']",2
jarro,"['jar', 'ro']",nome masculino,"['ʒˈa', 'ɦʊ']",2
jasmim,"['jas', 'mim']",nome masculino,"['ʒaʒ', 'mˈĩ']",1
jaspe,"['jas', 'pe']",nome masculino,"['ʒˈaʃ', 'pɪ']",2
jataí,"['ja', 'ta', 'í']",nome feminino,"['ʒa', 'ta', 'ˈi ou ʒa', 'ta', 'ˈi']",1
jato,"['ja', 'to']",nome masculino,"['ʒˈa', 'tʊ']",2
jato,"['ja', 'to']",nome feminino,"['ʒˈa', 'tʊ']",2
jaú,"['ja', 'ú']",nome masculino,"['ʒa', 'ˈʊ']",1
jau,['jau'],adjetivo,['ʒˈaw'],1
jau,['jau'],nome masculino,['ʒˈaw'],1
jau,['jau'],nome feminino,['ʒˈaw'],1
jaula,"['jau', 'la']",nome feminino,"['ʒˈaw', 'lɐ']",2
java,"['ja', 'va']",nome feminino,"['ʒˈa', 'vɐ']",2
java,"['ja', 'va']",nome masculino,"['ʒˈa', 'vɐ']",2
javali,"['ja', 'va', 'li']",nome masculino,"['ʒa', 'va', 'lˈi']",1
javanês,"['ja', 'va', 'nês']",nome masculino,"['ʒa', 'vã', 'nˈeʃ']",1
javanês,"['ja', 'va', 'nês']",adjetivo,"['ʒa', 'vã', 'nˈeʃ']",1
javanesa,"['ja', 'va', 'ne', 'sa']",nome feminino,"['ʒa', 'vã', 'nˈe', 'zɐ']",2
javarda,"['ja', 'var', 'da']",nome feminino,"['ʒa', 'vˈaɦ', 'dɐ']",2
javardice,"['ja', 'var', 'di', 'ce']",nome feminino,"['ʒa', 'vaɦ', 'dʒˈi', 'sɪ']",2
javardo,"['ja', 'var', 'do']",nome masculino,"['ʒa', 'vˈaɦ', 'dʊ']",2
javardo,"['ja', 'var', 'do']",adjetivo,"['ʒa', 'vˈaɦ', 'dʊ']",2
javari,"['ja', 'va', 'ri']",nome masculino,"['ʒa', 'va', 'ɾˈi']",1
jazente,"['ja', 'zen', 'te']",adjetivo,"['ʒa', 'zˈẽ', 'tʃɪ']",2
jazente,"['ja', 'zen', 'te']",nome feminino,"['ʒa', 'zˈẽ', 'tʃɪ ou ʒa', 'zˈẽ', 'tʃɪ']",2
jazer,"['ja', 'zer']",nome masculino,"['ʒa', 'zˈe']",1
jazer,"['ja', 'zer']",verbo,"['ʒa', 'zˈe']",1
jazida,"['ja', 'zi', 'da']",nome feminino,"['ʒa', 'zˈi', 'dɐ']",2
jazigo,"['ja', 'zi', 'go']",nome masculino,"['ʒa', 'zˈi', 'gʊ']",2
jazz,['jazz'],nome masculino,['ʒˈaz'],1
jazz,['jazz'],adjetivo,[''],1
jazzista,"['jaz', 'zis', 'ta']",adjetivo,"['ʒa', 'zˈiʃ', 'tɐ']",2
jazzista,"['jaz', 'zis', 'ta']",nome masculino,"['ʒa', 'zˈiʃ', 'tɐ']",2
jazzista,"['jaz', 'zis', 'ta']",nome feminino,"['ʒa', 'zˈiʃ', 'tɐ']",2
jazzístico,"['jaz', 'zís', 'ti', 'co']",adjetivo,"['ʒa', 'zˈiʃ', 'tʃi', 'kʊ']",3
jeans,['jeans'],nome,[''],1
jeep,['jeep'],nome feminino,[''],1
jeito,"['jei', 'to']",nome masculino,"['ʒˈej', 'tʊ']",2
jeitosamente,"['jei', 'to', 'sa', 'men', 'te']",advérbio,"['ʒej', 'tɔ', 'zã', 'mˈẽ', 'tʃɪ']",2
jeitoso,"['jei', 'to', 'so']",adjetivo,"['ʒej', 'tˈo', 'zʊ']",2
jejuar,"['je', 'ju', 'ar']",verbo,"['ʒe', 'ʒu', 'ˈa']",1
jejum,"['je', 'jum']",nome masculino,"['ʒe', 'ʒˈũ']",1
jeque,"['je', 'que']",nome masculino,"['ʒˈɛ', 'kɪ']",2
jeremiar,"['je', 're', 'mi', 'ar']",verbo,"['ʒe', 'ɾẽ', 'mi', 'ˈa']",1
jeremias,"['je', 're', 'mi', 'as']",adjetivo,"['ʒe', 'ɾẽ', 'mˈi', 'ɐʃ']",2
jeremias,"['je', 're', 'mi', 'as']",nome masculino,"['ʒe', 'ɾẽ', 'mˈi', 'ɐʃ ou ʒe', 'ɾẽ', 'mˈi', 'ɐʃ']",2
jerico,"['je', 'ri', 'co']",nome masculino,"['ʒe', 'ɾˈi', 'kʊ']",2
