palavra,divisao,categoria,fonetica,tonic
seiscentista,"['seis', 'cen', 'tis', 'ta']",adjetivo,"['sej', 'sẽ', 'tʃˈiʃ', 'tɐ']",2
seiscentista,"['seis', 'cen', 'tis', 'ta']",nome feminino,"['sej', 'sẽ', 'tʃˈiʃ', 'tɐ']",2
seiscentos,"['seis', 'cen', 'tos']",número,"['sej', 'sˈẽ', 'tʊʃ']",2
seiscentos,"['seis', 'cen', 'tos']",nome masculino,"['sej', 'sˈẽ', 'tʊʃ']",2
seita,"['sei', 'ta']",nome feminino,"['sˈej', 'tɐ']",2
seiva,"['sei', 'va']",nome feminino,"['sˈej', 'vɐ']",2
seivoso,"['sei', 'vo', 'so']",adjetivo,"['sej', 'vˈo', 'zʊ']",2
seixa,"['sei', 'xa']",nome feminino,"['sˈej', 'ʃɐ']",2
seixal,"['sei', 'xal']",nome masculino,"['sej', 'ʃˈaw']",1
seixalense,"['sei', 'xa', 'len', 'se']",nome masculino,"['sej', 'ʃa', 'lˈẽ', 'sɪ ou sej', 'ʃa', 'lˈẽ', 'sɪ']",2
seixalense,"['sei', 'xa', 'len', 'se']",adjetivo,"['sej', 'ʃa', 'lˈẽ', 'sɪ']",2
seixo,"['sei', 'xo']",nome masculino,"['sˈej', 'ʃʊ']",2
seixoso,"['sei', 'xo', 'so']",adjetivo,"['sej', 'ʃˈo', 'zʊ']",2
seja,"['se', 'ja']",conjunção,"['sˈe', 'ʒɐ']",2
sela,"['se', 'la']",nome feminino,"['sˈɛ', 'lɐ']",2
selada,"['se', 'la', 'da']",nome feminino,"['se', 'lˈa', 'dɐ']",2
selado,"['se', 'la', 'do']",adjetivo,"['se', 'lˈa', 'dʊ']",2
selado,"['se', 'la', 'do']",nome masculino,"['se', 'lˈa', 'dʊ']",2
selagem,"['se', 'la', 'gem']",nome feminino,"['se', 'lˈa', 'ʒẽj']",2
seláquio,"['se', 'lá', 'qui', 'o']",nome masculino,"['se', 'lˈa', 'kjʊ']",3
seláquio,"['se', 'lá', 'qui', 'o']",adjetivo,"['se', 'lˈa', 'kjʊ']",3
selar,"['se', 'lar']",verbo,"['se', 'lˈa']",1
selaria,"['se', 'la', 'ri', 'a']",nome feminino,"['se', 'la', 'ɾˈi', 'ɐ']",2
sele,"['se', 'le']",nome masculino,"['sˈɛ', 'lɪ']",2
sele,"['se', 'le']",adjetivo,"['sˈɛ', 'lɪ']",2
seleção,"['se', 'le', 'ção']",nome feminino,"['se', 'le', 'sˈɐ̃w ou se', 'le', 'sˈɐ̃w']",1
selecionada,"['se', 'le', 'ci', 'o', 'na', 'da']",nome feminino,"['se', 'le', 'sjõ', 'nˈa', 'dɐ']",2
selecionado,"['se', 'le', 'ci', 'o', 'na', 'do']",adjetivo,"['se', 'le', 'sjõ', 'nˈa', 'dʊ ou se', 'le', 'sjõ', 'nˈa', 'dʊ']",2
selecionador,"['se', 'le', 'ci', 'o', 'na', 'dor']",adjetivo,"['se', 'le', 'sjõ', 'na', 'dˈo ou se', 'le', 'sjõ', 'na', 'dˈo']",1
selecionador,"['se', 'le', 'ci', 'o', 'na', 'dor']",nome masculino,"['se', 'le', 'sjõ', 'na', 'dˈo ou se', 'le', 'sjõ', 'na', 'dˈo']",1
selecionadora,"['se', 'le', 'ci', 'o', 'na', 'do', 'ra']",nome feminino,"['se', 'le', 'sjõ', 'na', 'dˈo', 'ɾɐ']",2
selecionar,"['se', 'le', 'ci', 'o', 'nar']",verbo,"['se', 'le', 'sjõ', 'nˈa ou se', 'le', 'sjõ', 'nˈa']",1
selecionável,"['se', 'le', 'ci', 'o', 'ná', 'vel']",adjetivo,"['se', 'le', 'sjõ', 'nˈa', 'vew']",2
selénio,"['se', 'lé', 'ni', 'o']",nome masculino,"['se', 'lˈɛ̃', 'njʊ']",3
seles,"['se', 'les']",adjetivo,"['sˈɛ', 'lɪʃ']",2
seleta,"['se', 'le', 'ta']",nome feminino,"['se', 'lˈɛ', 'tɐ']",2
seletar,"['se', 'le', 'tar']",verbo,"['se', 'le', 'tˈa']",1
seletivamente,"['se', 'le', 'ti', 'va', 'men', 'te']",advérbio,"['se', 'le', 'tʃi', 'vã', 'mˈẽ', 'tʃɪ']",2
seletividade,"['se', 'le', 'ti', 'vi', 'da', 'de']",nome feminino,"['se', 'le', 'tʃi', 'vi', 'dˈa', 'dʒɪ']",2
seletivo,"['se', 'le', 'ti', 'vo']",adjetivo,"['se', 'le', 'tʃˈi', 'vʊ']",2
seletor,"['se', 'le', 'tor']",adjetivo,"['se', 'lɛ', 'tˈo']",1
seletor,"['se', 'le', 'tor']",nome masculino,"['se', 'lɛ', 'tˈo']",1
self,['self'],nome feminino,[''],1
self,['self'],adjetivo,[''],1
self-service,"['self', 'ser', 'vi', 'ce']",nome masculino,[''],2
self-service,"['self', 'ser', 'vi', 'ce']",adjetivo,[''],2
selha,"['se', 'lha']",nome feminino,"['sˈe', 'ʎɐ']",2
selim,"['se', 'lim']",nome masculino,"['se', 'lˈĩ']",1
selo,"['se', 'lo']",nome masculino,"['sˈe', 'lʊ']",2
selva,"['sel', 'va']",nome feminino,"['sˈɛw', 'vɐ']",2
selvagem,"['sel', 'va', 'gem']",adjetivo,"['sew', 'vˈa', 'ʒẽj']",2
selvagem,"['sel', 'va', 'gem']",nome masculino,"['sew', 'vˈa', 'ʒẽj']",2
selvagem,"['sel', 'va', 'gem']",nome feminino,"['sew', 'vˈa', 'ʒẽj']",2
selvajaria,"['sel', 'va', 'ja', 'ri', 'a']",nome feminino,"['sew', 'va', 'ʒa', 'ɾˈi', 'ɐ']",2
selvaticamente,"['sel', 'va', 'ti', 'ca', 'men', 'te']",advérbio,"['sew', 'va', 'tʃi', 'kã', 'mˈẽ', 'tʃɪ']",2
selvático,"['sel', 'vá', 'ti', 'co']",adjetivo,"['sew', 'vˈa', 'tʃi', 'kʊ']",3
sem,['sem'],preposição,['sẽj'],1
sem-cerimónia,"['sem', 'ce', 'ri', 'mó', 'ni', 'a']",nome feminino,"['sẽj', 'se', 'ɾĩ', 'mˈɔ̃', 'njɐ']",3
sem-fim,"['sem', 'fim']",nome masculino,"['sẽj', 'fˈĩ']",1
sem-número,"['sem', 'nú', 'me', 'ro']",nome masculino,"['sẽj', 'nˈũ', 'me', 'ɾʊ']",3
sem-razão,"['sem', 'ra', 'zão']",nome feminino,"['sẽj', 'ɦa', 'zˈɐ̃w']",1
sem-vergonha,"['sem', 'ver', 'go', 'nha']",adjetivo,"['sˌẽj', 'veɦ', 'gˈɔ̃', 'ɲɐ']",2
sem-vergonha,"['sem', 'ver', 'go', 'nha']",nome masculino,"['sˌẽj', 'veɦ', 'gˈɔ̃', 'ɲɐ']",2
sem-vergonha,"['sem', 'ver', 'go', 'nha']",nome feminino,"['sˌẽj', 'veɦ', 'gˈɔ̃', 'ɲɐ']",2
sema,"['se', 'ma']",nome masculino,"['sˈẽ', 'mɐ']",2
semafórica,"['se', 'ma', 'fó', 'ri', 'ca']",nome feminino,"['sẽ', 'ma', 'fˈɔ', 'ɾi', 'kɐ']",3
semafórico,"['se', 'ma', 'fó', 'ri', 'co']",adjetivo,"['sẽ', 'ma', 'fˈɔ', 'ɾi', 'kʊ']",3
semáforo,"['se', 'má', 'fo', 'ro']",nome masculino,"['sẽ', 'mˈa', 'fo', 'ɾʊ']",3
semana,"['se', 'ma', 'na']",nome feminino,"['sẽ', 'mˈɐ̃', 'nɐ']",2
semanada,"['se', 'ma', 'na', 'da']",nome feminino,"['sẽ', 'mã', 'nˈa', 'dɐ']",2
semanal,"['se', 'ma', 'nal']",adjetivo,"['sẽ', 'mã', 'nˈaw']",1
semanalmente,"['se', 'ma', 'nal', 'men', 'te']",advérbio,"['sẽ', 'mã', 'naw', 'mˈẽ', 'tʃɪ']",2
semanário,"['se', 'ma', 'ná', 'ri', 'o']",adjetivo,"['sẽ', 'mã', 'nˈa', 'ɾjʊ']",3
semanário,"['se', 'ma', 'ná', 'ri', 'o']",nome masculino,"['sẽ', 'mã', 'nˈa', 'ɾjʊ']",3
semântica,"['se', 'mân', 'ti', 'ca']",nome feminino,"['sẽ', 'mˈɐ̃', 'tʃi', 'kɐ']",3
semanticamente,"['se', 'man', 'ti', 'ca', 'men', 'te']",advérbio,"['sẽ', 'mɐ̃', 'tʃi', 'kã', 'mˈẽ', 'tʃɪ']",2
semântico,"['se', 'mân', 'ti', 'co']",adjetivo,"['sẽ', 'mˈɐ̃', 'tʃi', 'kʊ']",3
semba,"['sem', 'ba']",nome feminino,"['sˈẽ', 'bɐ']",2
semblante,"['sem', 'blan', 'te']",nome masculino,"['sẽ', 'blˈɐ̃', 'tʃɪ']",2
sêmea,"['sê', 'me', 'a']",nome feminino,"['sˈẽ', 'mjɐ']",3
semeada,"['se', 'me', 'a', 'da']",nome feminino,"['sẽ', 'mi', 'ˈa', 'dɐ']",2
semeador,"['se', 'me', 'a', 'dor']",nome masculino,"['sẽ', 'me', 'a', 'dˈo']",1
semeador,"['se', 'me', 'a', 'dor']",adjetivo,"['sẽ', 'me', 'a', 'dˈo']",1
semeadura,"['se', 'me', 'a', 'du', 'ra']",nome feminino,"['sẽ', 'me', 'a', 'dˈu', 'ɾɐ']",2
semear,"['se', 'me', 'ar']",verbo,"['sẽ', 'mi', 'ˈa']",1
semelhança,"['se', 'me', 'lhan', 'ça']",nome feminino,"['sẽ', 'me', 'ʎˈɐ̃', 'sɐ']",2
semelhante,"['se', 'me', 'lhan', 'te']",adjetivo,"['sẽ', 'me', 'ʎˈɐ̃', 'tʃɪ']",2
semelhante,"['se', 'me', 'lhan', 'te']",nome masculino,"['sẽ', 'me', 'ʎˈɐ̃', 'tʃɪ']",2
semelhantemente,"['se', 'me', 'lhan', 'te', 'men', 'te']",advérbio,"['sẽ', 'me', 'ʎɐ̃', 'tẽ', 'mˈẽ', 'tʃɪ']",2
semelhar,"['se', 'me', 'lhar']",verbo,"['sẽ', 'me', 'ʎˈa']",1
sémen,"['sé', 'men']",nome masculino,"['sˈɛ̃', 'mẽ']",2
semental,"['se', 'men', 'tal']",adjetivo,"['sẽ', 'mẽ', 'tˈaw']",1
semental,"['se', 'men', 'tal']",nome masculino,"['sẽ', 'mẽ', 'tˈaw']",1
sementar,"['se', 'men', 'tar']",verbo,"['sẽ', 'mẽ', 'tˈa']",1
semente,"['se', 'men', 'te']",nome feminino,"['sẽ', 'mˈẽ', 'tʃɪ']",2
