palavra,divisao,categoria,fonetica,tonic
mencionável,"['men', 'ci', 'o', 'ná', 'vel']",adjetivo,"['mẽ', 'sjõ', 'nˈa', 'vew']",2
mendicância,"['men', 'di', 'cân', 'ci', 'a']",nome feminino,"['mẽ', 'dʒi', 'kˈɐ̃', 'sjɐ']",3
mendicante,"['men', 'di', 'can', 'te']",adjetivo,"['mẽ', 'dʒi', 'kˈɐ̃', 'tʃɪ']",2
mendicante,"['men', 'di', 'can', 'te']",nome masculino,"['mẽ', 'dʒi', 'kˈɐ̃', 'tʃɪ']",2
mendicante,"['men', 'di', 'can', 'te']",nome feminino,"['mẽ', 'dʒi', 'kˈɐ̃', 'tʃɪ']",2
mendicidade,"['men', 'di', 'ci', 'da', 'de']",nome feminino,"['mẽ', 'dʒi', 'si', 'dˈa', 'dʒɪ']",2
mendigar,"['men', 'di', 'gar']",verbo,"['mẽ', 'dʒi', 'gˈa']",1
mendigo,"['men', 'di', 'go']",nome masculino,"['mẽ', 'dʒˈi', 'gʊ']",2
mendinho,"['men', 'di', 'nho']",adjetivo,"['mẽ', 'dʒˈĩ', 'ɲʊ']",2
mendinho,"['men', 'di', 'nho']",nome masculino,"['mẽ', 'dʒˈĩ', 'ɲʊ']",2
menear,"['me', 'ne', 'ar']",verbo,"['mẽ', 'ni', 'ˈa']",1
meneio,"['me', 'nei', 'o']",nome masculino,"['mẽ', 'nˈej', 'ʊ']",2
menestrel,"['me', 'nes', 'trel']",nome masculino,"['mẽ', 'neʃ', 'tɾˈɛw']",1
mengo,"['men', 'go']",nome masculino,"['mˈẽ', 'gʊ']",2
menhir,"['me', 'nhir']",nome masculino,"['mɛ̃', 'ɲˈi']",1
menina,"['me', 'ni', 'na']",nome feminino,"['mẽ', 'nˈĩ', 'nɐ']",2
meninge,"['me', 'nin', 'ge']",nome feminino,"['mẽ', 'nˈĩ', 'ʒɪ']",2
meningite,"['me', 'nin', 'gi', 'te']",nome feminino,"['mẽ', 'nĩ', 'ʒˈi', 'tʃɪ']",2
meninice,"['me', 'ni', 'ni', 'ce']",nome feminino,"['mẽ', 'nĩ', 'nˈi', 'sɪ']",2
menino,"['me', 'ni', 'no']",adjetivo,"['mẽ', 'nˈĩ', 'nʊ']",2
meninó,"['me', 'ni', 'nó']",nome masculino,"['mẽ', 'nĩ', 'nˈɔ']",1
menino,"['me', 'ni', 'no']",nome masculino,"['mẽ', 'nˈĩ', 'nʊ']",2
menino-bonito,"['me', 'ni', 'no', 'bo', 'ni', 'to']",nome masculino,"['mẽ', 'nˌĩ', 'nʊ', 'bõ', 'nˈi', 'tʊ']",2
menino-prodígio,"['me', 'ni', 'no', 'pro', 'dí', 'gi', 'o']",nome masculino,"['mẽ', 'nˌĩ', 'nʊ', 'pɾo', 'dʒˈi', 'ʒjʊ']",3
menir,"['me', 'nir']",nome masculino,"['mẽ', 'nˈi']",1
menisco,"['me', 'nis', 'co']",nome masculino,"['mẽ', 'nˈiʃ', 'kʊ']",2
meniscoide,"['me', 'nis', 'coi', 'de']",adjetivo,"['mẽ', 'niʃ', 'ko', 'ˈi', 'dʒɪ']",2
menonista,"['me', 'no', 'nis', 'ta']",nome masculino,"['mẽ', 'nõ', 'nˈiʃ', 'tɐ ou mẽ', 'nõ', 'nˈiʃ', 'tɐ']",2
menopausa,"['me', 'no', 'pau', 'sa']",nome feminino,"['mẽ', 'no', 'pˈaw', 'zɐ']",2
menor,"['me', 'nor']",adjetivo,"['mẽ', 'nˈɔ']",1
menor,"['me', 'nor']",nome masculino,"['mẽ', 'nˈɔ']",1
menor,"['me', 'nor']",nome feminino,"['mẽ', 'nˈɔ']",1
menoridade,"['me', 'no', 'ri', 'da', 'de']",nome feminino,"['mẽ', 'no', 'ɾi', 'dˈa', 'dʒɪ']",2
menorizar,"['me', 'no', 'ri', 'zar']",verbo,"['mẽ', 'no', 'ɾi', 'zˈa']",1
menos,"['me', 'nos']",preposição,"['mˈẽ', 'nʊʃ']",2
menos,"['me', 'nos']",advérbio,"['mˈẽ', 'nʊʃ']",2
menos,"['me', 'nos']",artigo,"['mˈẽ', 'nʊʃ']",2
menos,"['me', 'nos']",pronome,"['mˈẽ', 'nʊʃ']",2
menos,"['me', 'nos']",nome masculino,"['mˈẽ', 'nʊʃ']",2
menosprezado,"['me', 'nos', 'pre', 'za', 'do']",adjetivo,"['mẽ', 'noʃ', 'pɾe', 'zˈa', 'dʊ']",2
menosprezar,"['me', 'nos', 'pre', 'zar']",verbo,"['mẽ', 'noʃ', 'pɾe', 'zˈa']",1
menosprezável,"['me', 'nos', 'pre', 'zá', 'vel']",adjetivo,"['mẽ', 'noʃ', 'pɾe', 'zˈa', 'vew']",2
menosprezo,"['me', 'nos', 'pre', 'zo']",nome masculino,"['mẽ', 'noʃ', 'pɾˈe', 'zʊ']",2
mensageira,"['men', 'sa', 'gei', 'ra']",nome feminino,"['mẽ', 'sa', 'ʒˈej', 'ɾɐ']",2
mensageiro,"['men', 'sa', 'gei', 'ro']",nome masculino,"['mẽ', 'sa', 'ʒˈej', 'ɾʊ']",2
mensageiro,"['men', 'sa', 'gei', 'ro']",adjetivo,"['mẽ', 'sa', 'ʒˈej', 'ɾʊ']",2
mensagem,"['men', 'sa', 'gem']",nome feminino,"['mẽ', 'sˈa', 'ʒẽj']",2
mensal,"['men', 'sal']",adjetivo,"['mẽ', 'sˈaw']",1
mensalidade,"['men', 'sa', 'li', 'da', 'de']",nome feminino,"['mẽ', 'sa', 'li', 'dˈa', 'dʒɪ']",2
mensalmente,"['men', 'sal', 'men', 'te']",advérbio,"['mẽ', 'saw', 'mˈẽ', 'tʃɪ']",2
mensário,"['men', 'sá', 'ri', 'o']",nome masculino,"['mẽ', 'sˈa', 'ɾjʊ']",3
mensário,"['men', 'sá', 'ri', 'o']",adjetivo,"['mẽ', 'sˈa', 'ɾjʊ']",3
menstruação,"['mens', 'tru', 'a', 'ção']",nome feminino,"['mẽʃ', 'tɾu', 'a', 'sˈɐ̃w']",1
menstruado,"['mens', 'tru', 'a', 'do']",adjetivo,"['mẽʃ', 'tɾu', 'ˈa', 'dʊ']",2
menstrual,"['mens', 'tru', 'al']",adjetivo,"['mẽʃ', 'tɾu', 'ˈaw']",1
menstruar,"['mens', 'tru', 'ar']",verbo,"['mẽʃ', 'tɾu', 'ˈa']",1
mensuração,"['men', 'su', 'ra', 'ção']",nome feminino,"['mẽ', 'su', 'ɾa', 'sˈɐ̃w']",1
mensurar,"['men', 'su', 'rar']",verbo,"['mẽ', 'su', 'ɾˈa']",1
mensurável,"['men', 'su', 'rá', 'vel']",adjetivo,"['mẽ', 'su', 'ɾˈa', 'vew']",2
menta,"['men', 'ta']",nome feminino,"['mˈẽ', 'tɐ']",2
mental,"['men', 'tal']",adjetivo,"['mẽ', 'tˈaw']",1
mentalidade,"['men', 'ta', 'li', 'da', 'de']",nome feminino,"['mẽ', 'ta', 'li', 'dˈa', 'dʒɪ']",2
mentalismo,"['men', 'ta', 'lis', 'mo']",nome masculino,"['mẽ', 'ta', 'lˈiʒ', 'mʊ']",2
