palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
desintrincar,verbo,"['de', 'sin', 'trin', 'car']",-1,"['de', 'zĩ', 'tɾĩ', 'kˈaɾ']",-1
desinvejoso,adjetivo,"['de', 'sin', 've', 'jo', 'so']",-2,"['de', 'zĩ', 've', 'ʒˈo', 'zʊ']",-2
desinvernar,verbo,"['de', 'sin', 'ver', 'nar']",-1,"['de', 'zĩ', 'veɦ', 'nˈaɾ']",-1
desinvestimento,nome masculino,"['de', 'sin', 'ves', 'ti', 'men', 'to']",-2,"['de', 'zĩ', 'veʃ', 'tʃĩ', 'mˈẽ', 'tʊ']",-2
desinvestir,verbo,"['de', 'sin', 'ves', 'tir']",-1,"['de', 'zĩ', 'veʃ', 'tʃˈi']",-1
desionização,nome feminino,"['de', 'si', 'o', 'ni', 'za', 'ção']",-1,"['de', 'zjõ', 'ni', 'za', 'sˈɐ̃w']",-1
desionizar,verbo,"['de', 'si', 'o', 'ni', 'zar']",-1,"['de', 'zjõ', 'ni', 'zˈaɾ']",-1
desipotecar,verbo,"['de', 'si', 'po', 'te', 'car']",-1,"['de', 'zi', 'po', 'te', 'kˈa']",-1
desirmanadamente,advérbio,"['de', 'sir', 'ma', 'na', 'da', 'men', 'te']",-2,"['de', 'ziɦ', 'mã', 'na', 'dã', 'mˈẽ', 'tʃɪ']",-2
desirmanado,adjetivo,"['de', 'sir', 'ma', 'na', 'do']",-2,"['de', 'ziɦ', 'mã', 'nˈa', 'dʊ']",-2
desirmanar,verbo,"['de', 'sir', 'ma', 'nar']",-1,"['de', 'ziɦ', 'mã', 'nˈa']",-1
desirmão,adjetivo,"['de', 'sir', 'mão']",-1,"['de', 'ziɦ', 'mˈɐ̃w']",-1
desiscar,verbo,"['de', 'sis', 'car']",-1,"['de', 'ziʃ', 'kˈaɾ']",-1
desistência,nome feminino,"['de', 'sis', 'tên', 'ci', 'a']",-3,"['de', 'ziʃ', 'tˈẽ', 'sjɐ']",-2
desistente,adjetivo,"['de', 'sis', 'ten', 'te']",-2,"['de', 'ziʃ', 'tˈẽ', 'tʃɪ']",-2
desistir,verbo,"['de', 'sis', 'tir']",-1,"['de', 'ziʃ', 'tʃˈi']",-1
desjarretar,verbo,"['des', 'jar', 're', 'tar']",-1,"['dez', 'ʒa', 'ɦe', 'tˈaɾ']",-1
desjeito,nome masculino,"['des', 'jei', 'to']",-2,"['dez', 'ʒˈej', 'tʊ']",-2
desjeitoso,adjetivo,"['des', 'jei', 'to', 'so']",-2,"['dez', 'ʒej', 'tˈo', 'zʊ']",-2
desjejuar,verbo,"['des', 'je', 'ju', 'ar']",-1,"['dez', 'ʒe', 'ʒu', 'ˈaɾ']",-1
desjejum,nome masculino,"['des', 'je', 'jum']",-1,"['deʒ', 'ʒe', 'ʒˈũ']",-1
desjungir,verbo,"['des', 'jun', 'gir']",-1,"['dez', 'ʒũ', 'ʒˈiɾ']",-1
desjuntar,verbo,"['des', 'jun', 'tar']",-1,"['dez', 'ʒũ', 'tˈaɾ']",-1
deslabiado,adjetivo,"['des', 'la', 'bi', 'a', 'do']",-2,"['dez', 'la', 'bi', 'ˈa', 'dʊ']",-2
deslaçamento,nome masculino,"['des', 'la', 'ça', 'men', 'to']",-2,"['deʒ', 'la', 'sã', 'mˈẽ', 'tʊ']",-2
deslaçar,verbo,"['des', 'la', 'çar']",-1,"['dez', 'la', 'sˈaɾ']",-1
deslacrar,verbo,"['des', 'la', 'crar']",-1,"['dez', 'la', 'kɾˈaɾ']",-1
desladeiro,nome masculino,"['des', 'la', 'dei', 'ro']",-2,"['dez', 'la', 'dˈej', 'ɾʊ']",-2
deslado,nome masculino,"['des', 'la', 'do']",-2,"['deʒ', 'lˈa', 'dʊ']",-2
desladrilhar,verbo,"['des', 'la', 'dri', 'lhar']",-1,"['dez', 'la', 'dɾi', 'ʎˈaɾ']",-1
desladrilho,nome masculino,"['des', 'la', 'dri', 'lho']",-2,"['dez', 'la', 'dɾˈi', 'ʎʊ']",-2
deslajear,verbo,"['des', 'la', 'je', 'ar']",-1,"['dez', 'la', 'ʒi', 'ˈaɾ']",-1
deslapidado,adjetivo,"['des', 'la', 'pi', 'da', 'do']",-2,"['dez', 'la', 'pi', 'dˈa', 'dʊ']",-2
deslapidar,verbo,"['des', 'la', 'pi', 'dar']",-1,"['dez', 'la', 'pi', 'dˈaɾ']",-1
deslassar,verbo,"['des', 'las', 'sar']",-1,"['dez', 'la', 'sˈaɾ']",-1
