palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
retribuição,nome feminino,"['re', 'tri', 'bu', 'i', 'ção']",-1,"['ɦe', 'tɾi', 'buj', 'sˈɐ̃w']",-1
retribuir,verbo,"['re', 'tri', 'bu', 'ir']",-1,"['ɦe', 'tɾi', 'bu', 'ˈi']",-1
retributivo,adjetivo,"['re', 'tri', 'bu', 'ti', 'vo']",-2,"['ɦe', 'tɾi', 'bu', 'tʃˈi', 'vʊ']",-2
retrilhar,verbo,"['re', 'tri', 'lhar']",-1,"['ɦe', 'tɾi', 'ʎˈaɾ']",-1
retrincado,adjetivo,"['re', 'trin', 'ca', 'do']",-2,"['ɦe', 'tɾĩ', 'kˈa', 'dʊ']",-2
retrincar,verbo,"['re', 'trin', 'car']",-1,"['ɦe', 'tɾĩ', 'kˈaɾ']",-1
retriz,nome feminino,"['re', 'triz']",-1,"['ɦe', 'tɾˈiʃ']",-1
retro,advérbio,"['re', 'tro']",-2,"['ɦˈɛ', 'tɾʊ']",-2
rétro,adjetivo,"['ré', 'tro']",-2,"['ɦˈɛ', 'tɾʊ']",-2
retro,nome masculino,"['re', 'tro']",-2,"['ɦˈɛ', 'tɾʊ']",-2
retroagir,verbo,"['re', 'tro', 'a', 'gir']",-1,"['ɦe', 'tɾo', 'a', 'ʒˈi']",-1
retroar,verbo,"['re', 'tro', 'ar']",-1,"['ɦe', 'tɾo', 'ˈaɾ']",-1
retroativamente,advérbio,"['re', 'tro', 'a', 'ti', 'va', 'men', 'te']",-2,"['ɦe', 'tɾo', 'a', 'tʃi', 'vã', 'mˈẽ', 'tʃɪ']",-2
retroatividade,nome feminino,"['re', 'tro', 'a', 'ti', 'vi', 'da', 'de']",-2,"['ɦe', 'tɾo', 'a', 'tʃi', 'vi', 'dˈa', 'dʒɪ']",-2
retroativo,adjetivo,"['re', 'tro', 'a', 'ti', 'vo']",-2,"['ɦe', 'tɾo', 'a', 'tʃˈi', 'vʊ']",-2
retrocar,verbo,"['re', 'tro', 'car']",-1,"['ɦe', 'tɾo', 'kˈaɾ']",-1
retroceder,verbo,"['re', 'tro', 'ce', 'der']",-1,"['ɦe', 'tɾo', 'se', 'dˈe']",-1
