palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
lapidador,nome masculino,"['la', 'pi', 'da', 'dor']",-1,"['la', 'pi', 'da', 'dˈo']",-1
lapidar,adjetivo,"['la', 'pi', 'dar']",-1,"['la', 'pi', 'dˈa']",-1
lapidar,verbo,"['la', 'pi', 'dar']",-1,"['la', 'pi', 'dˈa']",-1
lapidária,nome feminino,"['la', 'pi', 'dá', 'ri', 'a']",-3,"['la', 'pi', 'dˈa', 'ɾjɐ']",-2
lapidaria,nome feminino,"['la', 'pi', 'da', 'ri', 'a']",-2,"['la', 'pi', 'da', 'ɾˈi', 'ɐ']",-2
lapidário,adjetivo,"['la', 'pi', 'dá', 'ri', 'o']",-3,"['la', 'pi', 'dˈa', 'ɾjʊ']",-2
lápide,nome feminino,"['lá', 'pi', 'de']",-3,"['lˈa', 'pi', 'dʒɪ']",-3
lápis,nome masculino,"['lá', 'pis']",-2,"['lˈa', 'pɪʃ']",-2
lápis-lazúli,nome masculino,"['lá', 'pis', 'la', 'zú', 'li']",-2,"['lˌa', 'piʒ', 'la', 'zˈu', 'lɪ']",-2
lapiseira,nome feminino,"['la', 'pi', 'sei', 'ra']",-2,"['la', 'pi', 'zˈej', 'ɾɐ']",-2
lapónia,nome feminino,"['la', 'pó', 'ni', 'a']",-3,"['la', 'pˈɔ̃', 'njɐ']",-2
lapónio,adjetivo,"['la', 'pó', 'ni', 'o']",-3,"['la', 'pˈɔ̃', 'njʊ']",-2
lapso,nome masculino,"['lap', 'so']",-2,"['lˈa', 'pə', 'sʊ']",-3
laqueação,nome feminino,"['la', 'que', 'a', 'ção']",-1,"['la', 'ke', 'a', 'sˈɐ̃w']",-1
laqueado,adjetivo,"['la', 'que', 'a', 'do']",-2,"['la', 'ki', 'ˈa', 'dʊ']",-2
laquear,verbo,"['la', 'que', 'ar']",-1,"['la', 'ki', 'ˈa']",-1
lar,nome masculino,['lar'],-1,['lˈa'],-1
laracha,nome masculino,"['la', 'ra', 'cha']",-2,"['la', 'ɾˈa', 'ʃɐ']",-2
larachar,verbo,"['la', 'ra', 'char']",-1,"['la', 'ɾa', 'ʃˈa']",-1
laranja,nome feminino,"['la', 'ran', 'ja']",-2,"['la', 'ɾˈɐ̃', 'ʒɐ']",-2
laranja,nome masculino,"['la', 'ran', 'ja']",-2,"['la', 'ɾˈɐ̃', 'ʒɐ']",-2
laranja,adjetivo,"['la', 'ran', 'ja']",-2,"['la', 'ɾˈɐ̃', 'ʒɐ']",-2
laranjada,nome feminino,"['la', 'ran', 'ja', 'da']",-2,"['la', 'ɾɐ̃', 'ʒˈa', 'dɐ']",-2
laranjal,nome masculino,"['la', 'ran', 'jal']",-1,"['la', 'ɾɐ̃', 'ʒˈaw']",-1
