palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
tenista,adjetivo,"['te', 'nis', 'ta']",-2,"['tẽ', 'nˈiʃ', 'tɐ']",-2
tenista,nome feminino,"['te', 'nis', 'ta']",-2,"['tẽ', 'nˈiʃ', 'tɐ']",-2
tenor,adjetivo,"['te', 'nor']",-1,"['tẽ', 'nˈo']",-1
tenor,nome masculino,"['te', 'nor']",-1,"['tẽ', 'nˈo']",-1
tenorino,nome masculino,"['te', 'no', 'ri', 'no']",-2,"['tẽ', 'no', 'ɾˈĩ', 'nʊ']",-2
tenramente,advérbio,"['ten', 'ra', 'men', 'te']",-2,"['tẽ', 'ɦã', 'mˈẽ', 'tʃɪ']",-2
tenreiro,nome masculino,"['ten', 'rei', 'ro']",-2,"['tẽ', 'ɦˈej', 'ɾʊ']",-2
tenreiro,adjetivo,"['ten', 'rei', 'ro']",-2,"['tẽ', 'ɦˈej', 'ɾʊ']",-2
tenríssimo,adjetivo,"['ten', 'rís', 'si', 'mo']",-3,"['tẽ', 'ɦˈi', 'sĩ', 'mʊ']",-3
tenro,adjetivo,"['ten', 'ro']",-2,"['tˈẽ', 'ɦʊ']",-2
tenrura,nome feminino,"['ten', 'ru', 'ra']",-2,"['tẽ', 'ɦˈu', 'ɾɐ']",-2
tensa,nome feminino,"['ten', 'sa']",-2,"['tˈẽ', 'sɐ']",-2
tensamente,advérbio,"['ten', 'sa', 'men', 'te']",-2,"['tẽ', 'sã', 'mˈẽ', 'tʃɪ']",-2
tensão,nome feminino,"['ten', 'são']",-1,"['tẽ', 'sˈɐ̃w']",-1
tenso,adjetivo,"['ten', 'so']",-2,"['tˈẽ', 'sʊ']",-2
tensor,nome masculino,"['ten', 'sor']",-1,"['tẽ', 'sˈo']",-1
tensor,adjetivo,"['ten', 'sor']",-1,"['tẽ', 'sˈo']",-1
tenta,nome feminino,"['ten', 'ta']",-2,"['tˈẽ', 'tɐ']",-2
