palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
espiritualismo,nome masculino,"['es', 'pi', 'ri', 'tu', 'a', 'lis', 'mo']",-2,"['iʃ', 'pi', 'ɾi', 'tu', 'a', 'lˈiʒ', 'mʊ']",-2
espiritualista,nome masculino,"['es', 'pi', 'ri', 'tu', 'a', 'lis', 'ta']",-2,"['iʃ', 'pi', 'ɾi', 'tu', 'a', 'lˈiʃ', 'tɐ']",-2
espiritualista,adjetivo,"['es', 'pi', 'ri', 'tu', 'a', 'lis', 'ta']",-2,"['iʃ', 'pi', 'ɾi', 'tu', 'a', 'lˈiʃ', 'tɐ']",-2
espiritualista,nome feminino,"['es', 'pi', 'ri', 'tu', 'a', 'lis', 'ta']",-2,"['iʃ', 'pi', 'ɾi', 'tu', 'a', 'lˈiʃ', 'tɐ']",-2
espiritualização,nome feminino,"['es', 'pi', 'ri', 'tu', 'a', 'li', 'za', 'ção']",-1,"['iʃ', 'pi', 'ɾi', 'tu', 'a', 'li', 'za', 'sˈɐ̃w']",-1
espiritualizar,verbo,"['es', 'pi', 'ri', 'tu', 'a', 'li', 'zar']",-1,"['iʃ', 'pi', 'ɾi', 'tu', 'a', 'li', 'zˈa']",-1
espiritualmente,advérbio,"['es', 'pi', 'ri', 'tu', 'al', 'men', 'te']",-2,"['iʃ', 'pi', 'ɾi', 'tu', 'aw', 'mˈẽ', 'tʃɪ']",-2
espirituosamente,advérbio,"['es', 'pi', 'ri', 'tu', 'o', 'sa', 'men', 'te']",-2,"['iʃ', 'pi', 'ɾi', 'tu', 'o', 'zã', 'mˈẽ', 'tʃɪ']",-2
espirituoso,adjetivo,"['es', 'pi', 'ri', 'tu', 'o', 'so']",-2,"['iʃ', 'pi', 'ɾi', 'tu', 'ˈo', 'zʊ']",-2
espirrador,adjetivo,"['es', 'pir', 'ra', 'dor']",-1,"['iʃ', 'pi', 'ɦa', 'dˈo']",-1
espirrador,nome masculino,"['es', 'pir', 'ra', 'dor']",-1,"['iʃ', 'pi', 'ɦa', 'dˈo']",-1
espirrar,verbo,"['es', 'pir', 'rar']",-1,"['iʃ', 'pi', 'ɦˈa']",-1
espirro,nome masculino,"['es', 'pir', 'ro']",-2,"['iʃ', 'pˈi', 'ɦʊ']",-2
esplanada,nome feminino,"['es', 'pla', 'na', 'da']",-2,"['iʃ', 'plã', 'nˈa', 'dɐ']",-2
esplendidamente,advérbio,"['es', 'plen', 'di', 'da', 'men', 'te']",-2,"['iʃ', 'plẽ', 'dʒi', 'dã', 'mˈẽ', 'tʃɪ']",-2
esplêndido,adjetivo,"['es', 'plên', 'di', 'do']",-3,"['iʃ', 'plˈẽ', 'dʒi', 'dʊ']",-3
esplendor,nome masculino,"['es', 'plen', 'dor']",-1,"['iʃ', 'plẽ', 'dˈo']",-1
esplendorosamente,advérbio,"['es', 'plen', 'do', 'ro', 'sa', 'men', 'te']",-2,"['iʃ', 'plẽ', 'do', 'ɾɔ', 'zã', 'mˈẽ', 'tʃɪ']",-2
esplendoroso,adjetivo,"['es', 'plen', 'do', 'ro', 'so']",-2,"['iʃ', 'plẽ', 'do', 'ɾˈo', 'zʊ']",-2
espoar,verbo,"['es', 'po', 'ar']",-1,"['iʃ', 'po', 'ˈa']",-1
espojar,verbo,"['es', 'po', 'jar']",-1,"['iʃ', 'po', 'ʒˈa']",-1
espoleta,nome feminino,"['es', 'po', 'le', 'ta']",-2,"['iʃ', 'po', 'lˈe', 'tɐ']",-2
espoleta,nome masculino,"['es', 'po', 'le', 'ta']",-2,"['iʃ', 'po', 'lˈe', 'tɐ']",-2
espoletar,verbo,"['es', 'po', 'le', 'tar']",-1,"['iʃ', 'po', 'le', 'tˈa']",-1
espoliação,nome feminino,"['es', 'po', 'li', 'a', 'ção']",-1,"['iʃ', 'po', 'li', 'a', 'sˈɐ̃w']",-1
espoliado,adjetivo,"['es', 'po', 'li', 'a', 'do']",-2,"['iʃ', 'po', 'li', 'ˈa', 'dʊ']",-2
espoliar,verbo,"['es', 'po', 'li', 'ar']",-1,"['iʃ', 'po', 'li', 'ˈa']",-1
espólio,nome masculino,"['es', 'pó', 'li', 'o']",-3,"['iʃ', 'pˈɔ', 'ljʊ']",-2
espondilite,nome feminino,"['es', 'pon', 'di', 'li', 'te']",-2,"['iʃ', 'põ', 'dʒi', 'lˈi', 'tʃɪ']",-2
espondilose,nome feminino,"['es', 'pon', 'di', 'lo', 'se']",-2,"['iʃ', 'põ', 'dʒi', 'lˈɔ', 'zɪ']",-2
espongiforme,adjetivo,"['es', 'pon', 'gi', 'for', 'me']",-2,"['iʃ', 'põ', 'ʒi', 'fˈɔɦ', 'mɪ']",-2
esponja,nome feminino,"['es', 'pon', 'ja']",-2,"['iʃ', 'pˈõ', 'ʒɐ']",-2
esponjar,verbo,"['es', 'pon', 'jar']",-1,"['iʃ', 'põ', 'ʒˈa']",-1
esponjoso,adjetivo,"['es', 'pon', 'jo', 'so']",-2,"['iʃ', 'põ', 'ʒˈo', 'zʊ']",-2
