palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
cantábria,nome feminino,"['can', 'tá', 'bri', 'a']",-3,"['kɐ̃', 'tˈa', 'bɾjɐ']",-2
cantábrica,nome feminino,"['can', 'tá', 'bri', 'ca']",-3,"['kɐ̃', 'tˈa', 'bɾi', 'kɐ']",-3
cantábrico,adjetivo,"['can', 'tá', 'bri', 'co']",-3,"['kɐ̃', 'tˈa', 'bɾi', 'kʊ']",-3
cantábrico,nome masculino,"['can', 'tá', 'bri', 'co']",-3,"['kɐ̃', 'tˈa', 'bɾi', 'kʊ']",-3
cantábrio,adjetivo,"['can', 'tá', 'bri', 'o']",-3,"['kɐ̃', 'tˈa', 'bɾjʊ']",-2
cantada,nome feminino,"['can', 'ta', 'da']",-2,"['kɐ̃', 'tˈa', 'dɐ']",-2
cantadeira,nome feminino,"['can', 'ta', 'dei', 'ra']",-2,"['kɐ̃', 'ta', 'dˈej', 'ɾɐ']",-2
cantador,adjetivo,"['can', 'ta', 'dor']",-1,"['kɐ̃', 'ta', 'dˈo']",-1
cantador,nome masculino,"['can', 'ta', 'dor']",-1,"['kɐ̃', 'ta', 'dˈo']",-1
cantadora,nome feminino,"['can', 'ta', 'do', 'ra']",-2,"['kɐ̃', 'ta', 'dˈo', 'ɾɐ']",-2
cantante,adjetivo,"['can', 'tan', 'te']",-2,"['kɐ̃', 'tˈɐ̃', 'tʃɪ']",-2
cantante,nome masculino,"['can', 'tan', 'te']",-2,"['kɐ̃', 'tˈɐ̃', 'tʃɪ']",-2
cantão,nome masculino,"['can', 'tão']",-1,"['kɐ̃', 'tˈɐ̃w']",-1
cantar,nome masculino,"['can', 'tar']",-1,"['kˈɐ̃', 'ta']",-2
cantar,verbo,"['can', 'tar']",-1,"['kɐ̃', 'tˈa']",-1
cantareira,nome feminino,"['can', 'ta', 'rei', 'ra']",-2,"['kɐ̃', 'ta', 'ɾˈej', 'ɾɐ']",-2
cantaria,nome feminino,"['can', 'ta', 'ri', 'a']",-2,"['kɐ̃', 'ta', 'ɾˈi', 'ɐ']",-2
cantárida,nome feminino,"['can', 'tá', 'ri', 'da']",-3,"['kɐ̃', 'tˈa', 'ɾi', 'dɐ']",-3
cantaridina,nome feminino,"['can', 'ta', 'ri', 'di', 'na']",-2,"['kɐ̃', 'ta', 'ɾi', 'dʒˈĩ', 'nɐ']",-2
cantarilho,nome masculino,"['can', 'ta', 'ri', 'lho']",-2,"['kɐ̃', 'ta', 'ɾˈi', 'ʎʊ']",-2
cântaro,nome masculino,"['cân', 'ta', 'ro']",-3,"['kˈɐ̃', 'ta', 'ɾʊ']",-3
cantarola,nome feminino,"['can', 'ta', 'ro', 'la']",-2,"['kɐ̃', 'ta', 'ɾˈɔ', 'lɐ']",-2
cantarolar,verbo,"['can', 'ta', 'ro', 'lar']",-1,"['kɐ̃', 'ta', 'ɾo', 'lˈa']",-1
cantarolável,adjetivo,"['can', 'ta', 'ro', 'lá', 'vel']",-2,"['kɐ̃', 'ta', 'ɾo', 'lˈa', 'vew']",-2
cantata,nome feminino,"['can', 'ta', 'ta']",-2,"['kɐ̃', 'tˈa', 'tɐ']",-2
cantável,adjetivo,"['can', 'tá', 'vel']",-2,"['kɐ̃', 'tˈa', 'vew']",-2
canté,interjeição,"['can', 'té']",-1,"['kɐ̃', 'tˈɛ']",-1
canteira,nome feminino,"['can', 'tei', 'ra']",-2,"['kɐ̃', 'tˈej', 'ɾɐ']",-2
canteiro,nome masculino,"['can', 'tei', 'ro']",-2,"['kɐ̃', 'tˈej', 'ɾʊ']",-2
cântico,nome masculino,"['cân', 'ti', 'co']",-3,"['kˈɐ̃', 'tʃi', 'kʊ']",-3
cantiga,nome feminino,"['can', 'ti', 'ga']",-2,"['kɐ̃', 'tʃˈi', 'gɐ']",-2
cantil,nome masculino,"['can', 'til']",-1,"['kɐ̃', 'tʃˈiw']",-1
cantilena,nome feminino,"['can', 'ti', 'le', 'na']",-2,"['kɐ̃', 'tʃi', 'lˈẽ', 'nɐ']",-2
cantina,nome feminino,"['can', 'ti', 'na']",-2,"['kɐ̃', 'tʃˈĩ', 'nɐ']",-2
cantineiro,nome masculino,"['can', 'ti', 'nei', 'ro']",-2,"['kɐ̃', 'tʃĩ', 'nˈej', 'ɾʊ']",-2
cantinho,nome masculino,"['can', 'ti', 'nho']",-2,"['kɐ̃', 'tʃˈĩ', 'ɲʊ']",-2
canto,nome masculino,"['can', 'to']",-2,"['kˈɐ̃', 'tʊ']",-2
cantochão,nome masculino,"['can', 'to', 'chão']",-1,"['kɐ̃', 'to', 'ʃˈɐ̃w']",-1
cantonal,adjetivo,"['can', 'to', 'nal']",-1,"['kɐ̃', 'tõ', 'nˈaw']",-1
cantoneira,nome feminino,"['can', 'to', 'nei', 'ra']",-2,"['kɐ̃', 'tõ', 'nˈej', 'ɾɐ']",-2
cantoneiro,nome masculino,"['can', 'to', 'nei', 'ro']",-2,"['kɐ̃', 'tõ', 'nˈej', 'ɾʊ']",-2
cantor,nome masculino,"['can', 'tor']",-1,"['kɐ̃', 'tˈo']",-1
cantor,adjetivo,"['can', 'tor']",-1,"['kɐ̃', 'tˈo']",-1
cantora,nome feminino,"['can', 'to', 'ra']",-2,"['kɐ̃', 'tˈo', 'ɾɐ']",-2
cantoria,nome feminino,"['can', 'to', 'ri', 'a']",-2,"['kɐ̃', 'to', 'ɾˈi', 'ɐ']",-2
canudo,nome masculino,"['ca', 'nu', 'do']",-2,"['kã', 'nˈu', 'dʊ']",-2
