palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
qualquer,artigo,"['qual', 'quer']",-1,"['kwaw', 'kˈɛɾ']",-1
quando,conjunção,"['quan', 'do']",-2,"['kwˈɐ̃', 'dʊ']",-2
quando,advérbio,"['quan', 'do']",-2,"['kwˈɐ̃', 'dʊ']",-2
quanta,nome masculino,"['quan', 'ta']",-2,"['kwˈɐ̃', 'tɐ']",-2
quantia,nome feminino,"['quan', 'ti', 'a']",-2,"['kwɐ̃', 'tʃˈi', 'ɐ']",-2
quantiar,verbo,"['quan', 'ti', 'ar']",-1,"['kwɐ̃', 'tʃi', 'ˈa']",-1
quântico,adjetivo,"['quân', 'ti', 'co']",-3,"['kwˈɐ̃', 'tʃi', 'kʊ']",-3
quantidade,nome feminino,"['quan', 'ti', 'da', 'de']",-2,"['kwɐ̃', 'tʃi', 'dˈa', 'dʒɪ']",-2
quantificação,nome feminino,"['quan', 'ti', 'fi', 'ca', 'ção']",-1,"['kwɐ̃', 'tʃi', 'fi', 'ka', 'sˈɐ̃w']",-1
quantificado,adjetivo,"['quan', 'ti', 'fi', 'ca', 'do']",-2,"['kwɐ̃', 'tʃi', 'fi', 'kˈa', 'dʊ']",-2
quantificar,verbo,"['quan', 'ti', 'fi', 'car']",-1,"['kwɐ̃', 'tʃi', 'fi', 'kˈa']",-1
quantificável,adjetivo,"['quan', 'ti', 'fi', 'cá', 'vel']",-2,"['kwɐ̃', 'tʃi', 'fi', 'kˈa', 'vew']",-2
quantitativamente,advérbio,"['quan', 'ti', 'ta', 'ti', 'va', 'men', 'te']",-2,"['kwɐ̃', 'tʃi', 'ta', 'tʃi', 'vã', 'mˈẽ', 'tʃɪ']",-2
quantitativo,adjetivo,"['quan', 'ti', 'ta', 'ti', 'vo']",-2,"['kwɐ̃', 'tʃi', 'ta', 'tʃˈi', 'vʊ']",-2
quantitativo,nome masculino,"['quan', 'ti', 'ta', 'ti', 'vo']",-2,"['kwɐ̃', 'tʃi', 'ta', 'tʃˈi', 'vʊ']",-2
quanto,nome masculino,"['quan', 'to']",-2,"['kwˈɐ̃', 'tʊ']",-2
quanto,advérbio,"['quan', 'to']",-2,"['kwˈɐ̃', 'tʊ']",-2
quanto,artigo,"['quan', 'to']",-2,"['kwˈɐ̃', 'tʊ']",-2
quanto,pronome,"['quan', 'to']",-2,"['kwˈɐ̃', 'tʊ']",-2
quanto,pronome,"['quan', 'to']",-2,"['kwˈɐ̃', 'tʊ']",-2
quantum,nome masculino,"['quan', 'tum']",-1,"['kwɐ̃', 'tˈũ']",-1
quanza,nome masculino,"['quan', 'za']",-2,"['kwˈɐ̃', 'zɐ']",-2
quão,advérbio,"['qu', 'ão']",-1,"['ku', 'ˈɐ̃w']",-1
quarenta,nome masculino,"['qua', 'ren', 'ta']",-2,"['kwa', 'ɾˈẽ', 'tɐ']",-2
quarenta,número,"['qua', 'ren', 'ta']",-2,"['kwa', 'ɾˈẽ', 'tɐ']",-2
quarentão,adjetivo,"['qua', 'ren', 'tão']",-1,"['kwa', 'ɾẽ', 'tˈɐ̃w']",-1
quarentão,nome masculino,"['qua', 'ren', 'tão']",-1,"['kwa', 'ɾẽ', 'tˈɐ̃w']",-1
quarentar,verbo,"['qua', 'ren', 'tar']",-1,"['kwa', 'ɾẽ', 'tˈa']",-1
quarentena,nome feminino,"['qua', 'ren', 'te', 'na']",-2,"['kwa', 'ɾẽ', 'tˈɛ̃', 'nɐ']",-2
quarentenar,verbo,"['qua', 'ren', 'te', 'nar']",-1,"['kwa', 'ɾẽ', 'tẽ', 'nˈa']",-1
quarentona,nome feminino,"['qua', 'ren', 'to', 'na']",-2,"['kwa', 'ɾẽ', 'tˈõ', 'nɐ']",-2
