palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
unitarista,nome masculino,"['u', 'ni', 'ta', 'ris', 'ta']",-2,"['ũ', 'ni', 'ta', 'ɾˈiʃ', 'tɐ']",-2
unitarista,nome feminino,"['u', 'ni', 'ta', 'ris', 'ta']",-2,"['ũ', 'ni', 'ta', 'ɾˈiʃ', 'tɐ']",-2
unitivo,adjetivo,"['u', 'ni', 'ti', 'vo']",-2,"['ũ', 'ni', 'tʃˈi', 'vʊ']",-2
universal,nome masculino,"['u', 'ni', 'ver', 'sal']",-1,"['ũ', 'ni', 'veh', 'sˈaw']",-1
universal,adjetivo,"['u', 'ni', 'ver', 'sal']",-1,"['ũ', 'ni', 'veh', 'sˈaw']",-1
universalidade,nome feminino,"['u', 'ni', 'ver', 'sa', 'li', 'da', 'de']",-2,"['ũ', 'ni', 'veh', 'sa', 'li', 'dˈa', 'dʒɪ']",-2
universalismo,nome masculino,"['u', 'ni', 'ver', 'sa', 'lis', 'mo']",-2,"['ũ', 'ni', 'veh', 'sa', 'lˈiʒ', 'mʊ']",-2
universalista,adjetivo,"['u', 'ni', 'ver', 'sa', 'lis', 'ta']",-2,"['ũ', 'ni', 'veh', 'sa', 'lˈiʃ', 'tɐ']",-2
universalista,nome masculino,"['u', 'ni', 'ver', 'sa', 'lis', 'ta']",-2,"['ũ', 'ni', 'veh', 'sa', 'lˈiʃ', 'tɐ']",-2
universalista,nome feminino,"['u', 'ni', 'ver', 'sa', 'lis', 'ta']",-2,"['ũ', 'ni', 'veh', 'sa', 'lˈiʃ', 'tɐ']",-2
universalização,nome feminino,"['u', 'ni', 'ver', 'sa', 'li', 'za', 'ção']",-1,"['ũ', 'ni', 'veh', 'sa', 'li', 'za', 'sˈɐ̃w']",-1
universalizar,verbo,"['u', 'ni', 'ver', 'sa', 'li', 'zar']",-1,"['ũ', 'ni', 'veh', 'sa', 'li', 'zˈa']",-1
universalizável,adjetivo,"['u', 'ni', 'ver', 'sa', 'li', 'zá', 'vel']",-2,"['ũ', 'ni', 'veh', 'sa', 'li', 'zˈa', 'vew']",-2
universalmente,advérbio,"['u', 'ni', 'ver', 'sal', 'men', 'te']",-2,"['ũ', 'ni', 'veh', 'saw', 'mˈẽ', 'tʃɪ']",-2
universidade,nome feminino,"['u', 'ni', 'ver', 'si', 'da', 'de']",-2,"['ũ', 'ni', 'veh', 'si', 'dˈa', 'dʒɪ']",-2
universitária,nome feminino,"['u', 'ni', 'ver', 'si', 'tá', 'ri', 'a']",-3,"['ũ', 'ni', 'veh', 'si', 'tˈa', 'ɾjɐ']",-2
universitariamente,advérbio,"['u', 'ni', 'ver', 'si', 'ta', 'ri', 'a', 'men', 'te']",-2,"['ũ', 'ni', 'veh', 'si', 'ta', 'ɾi', 'ã', 'mˈẽ', 'tʃɪ']",-2
universitário,nome masculino,"['u', 'ni', 'ver', 'si', 'tá', 'ri', 'o']",-3,"['ũ', 'ni', 'veh', 'si', 'tˈa', 'ɾjʊ']",-2
universitário,adjetivo,"['u', 'ni', 'ver', 'si', 'tá', 'ri', 'o']",-3,"['ũ', 'ni', 'veh', 'si', 'tˈa', 'ɾjʊ']",-2
universo,nome masculino,"['u', 'ni', 'ver', 'so']",-2,"['ũ', 'ni', 'vˈɛh', 'sʊ']",-2
univocamente,advérbio,"['u', 'ni', 'vo', 'ca', 'men', 'te']",-2,"['ũ', 'ni', 'vo', 'kã', 'mˈẽ', 'tʃɪ']",-2
univocidade,nome feminino,"['u', 'ni', 'vo', 'ci', 'da', 'de']",-2,"['ũ', 'ni', 'vo', 'si', 'dˈa', 'dʒɪ']",-2
unívoco,adjetivo,"['u', 'ní', 'vo', 'co']",-3,"['ũ', 'nˈi', 'vo', 'kʊ']",-3
uno,adjetivo,"['u', 'no']",-2,"['ˈũ', 'nʊ']",-2
untar,verbo,"['un', 'tar']",-1,"['ũ', 'tˈa']",-1
unto,nome masculino,"['un', 'to']",-2,"['ˈũ', 'tʊ']",-2
untuosamente,advérbio,"['un', 'tu', 'o', 'sa', 'men', 'te']",-2,"['ũ', 'tu', 'ɔ', 'zã', 'mˈẽ', 'tʃɪ']",-2
untuosidade,nome feminino,"['un', 'tu', 'o', 'si', 'da', 'de']",-2,"['ũ', 'tu', 'o', 'zi', 'dˈa', 'dʒɪ']",-2
