palavra,divisao,categoria,fonetica,tonic
radiativo,"['ra', 'di', 'a', 'ti', 'vo']",adjetivo,"['ɦa', 'dʒi', 'a', 'tʃˈi', 'vʊ']",2
radicação,"['ra', 'di', 'ca', 'ção']",nome feminino,"['ɦa', 'dʒi', 'ka', 'sˈɐ̃w']",1
radicado,"['ra', 'di', 'ca', 'do']",adjetivo,"['ɦa', 'dʒi', 'kˈa', 'dʊ']",2
radical,"['ra', 'di', 'cal']",nome masculino,"['ɦa', 'dʒi', 'kˈaw']",1
radical,"['ra', 'di', 'cal']",adjetivo,"['ɦa', 'dʒi', 'kˈaw']",1
radical,"['ra', 'di', 'cal']",nome feminino,"['ɦa', 'dʒi', 'kˈaw']",1
radicalismo,"['ra', 'di', 'ca', 'lis', 'mo']",nome masculino,"['ɦa', 'dʒi', 'ka', 'lˈiʒ', 'mʊ']",2
radicalista,"['ra', 'di', 'ca', 'lis', 'ta']",adjetivo,"['ɦa', 'dʒi', 'ka', 'lˈiʃ', 'tɐ']",2
radicalista,"['ra', 'di', 'ca', 'lis', 'ta']",nome masculino,"['ɦa', 'dʒi', 'ka', 'lˈiʃ', 'tɐ']",2
radicalista,"['ra', 'di', 'ca', 'lis', 'ta']",nome feminino,"['ɦa', 'dʒi', 'ka', 'lˈiʃ', 'tɐ']",2
radicalização,"['ra', 'di', 'ca', 'li', 'za', 'ção']",nome feminino,"['ɦa', 'dʒi', 'ka', 'li', 'za', 'sˈɐ̃w']",1
radicalizar,"['ra', 'di', 'ca', 'li', 'zar']",verbo,"['ɦa', 'dʒi', 'ka', 'li', 'zˈa']",1
radicalmente,"['ra', 'di', 'cal', 'men', 'te']",advérbio,"['ɦa', 'dʒi', 'kaw', 'mˈẽ', 'tʃɪ']",2
radicando,"['ra', 'di', 'can', 'do']",adjetivo,"['ɦa', 'dʒi', 'kˈɐ̃', 'dʊ']",2
radicando,"['ra', 'di', 'can', 'do']",nome masculino,"['ɦa', 'dʒi', 'kˈɐ̃', 'dʊ']",2
radicar,"['ra', 'di', 'car']",verbo,"['ɦa', 'dʒi', 'kˈa']",1
radicular,"['ra', 'di', 'cu', 'lar']",adjetivo,"['ɦa', 'dʒi', 'ku', 'lˈa']",1
radicular,"['ra', 'di', 'cu', 'lar']",verbo,"['ɦa', 'dʒi', 'ku', 'lˈa']",1
rádio,"['rá', 'di', 'o']",nome masculino,"['ɦˈa', 'dʒjʊ']",3
rádio,"['rá', 'di', 'o']",nome feminino,"['ɦˈa', 'dʒjʊ']",3
radioamador,"['ra', 'di', 'o', 'a', 'ma', 'dor']",nome masculino,"['ɦa', 'dʒjo', 'ã', 'ma', 'dˈo']",1
radioamadorismo,"['ra', 'di', 'o', 'a', 'ma', 'do', 'ris', 'mo']",nome masculino,"['ɦa', 'dʒjo', 'ã', 'ma', 'do', 'ɾˈiʒ', 'mʊ']",2
radioastronomia,"['ra', 'di', 'o', 'as', 'tro', 'no', 'mi', 'a']",nome feminino,"['ɦa', 'dʒjo', 'aʃ', 'tɾõ', 'nõ', 'mˈi', 'ɐ']",2
radioatividade,"['ra', 'di', 'o', 'a', 'ti', 'vi', 'da', 'de']",nome feminino,"['ɦa', 'dʒjo', 'a', 'tʃi', 'vi', 'dˈa', 'dʒɪ']",2
radioativo,"['ra', 'di', 'o', 'a', 'ti', 'vo']",adjetivo,"['ɦa', 'dʒjo', 'a', 'tʃˈi', 'vʊ']",2
radiocomunicação,"['ra', 'di', 'o', 'co', 'mu', 'ni', 'ca', 'ção']",nome feminino,"['ɦa', 'dʒjo', 'kõ', 'mũ', 'ni', 'ka', 'sˈɐ̃w']",1
radiodifundir,"['ra', 'di', 'o', 'di', 'fun', 'dir']",verbo,"['ɦa', 'dʒjo', 'dʒi', 'fũ', 'dʒˈi']",1
radiodifusão,"['ra', 'di', 'o', 'di', 'fu', 'são']",nome feminino,"['ɦa', 'dʒjo', 'dʒi', 'fu', 'zˈɐ̃w']",1
radiodifusor,"['ra', 'di', 'o', 'di', 'fu', 'sor']",nome masculino,"['ɦa', 'dʒjo', 'dʒi', 'fu', 'zˈo']",1
radiodifusor,"['ra', 'di', 'o', 'di', 'fu', 'sor']",adjetivo,"['ɦa', 'dʒjo', 'dʒi', 'fu', 'zˈo']",1
radioemissão,"['ra', 'di', 'o', 'e', 'mis', 'são']",nome feminino,"['ɦa', 'dʒjo', 'ẽ', 'mi', 'sˈɐ̃w']",1
