palavra,divisao,categoria,fonetica,tonic
trimensário,"['tri', 'men', 'sá', 'ri', 'o']",nome masculino,"['tɾi', 'mẽ', 'sˈa', 'ɾjʊ']",3
trimestral,"['tri', 'mes', 'tral']",adjetivo,"['tɾĩ', 'meʃ', 'tɾˈaw']",1
trimestralmente,"['tri', 'mes', 'tral', 'men', 'te']",advérbio,"['tɾĩ', 'meʃ', 'tɾaw', 'mˈẽ', 'tʃɪ']",2
trimestre,"['tri', 'mes', 'tre']",nome masculino,"['tɾĩ', 'mˈɛʃ', 'tɾɪ']",2
trimestre,"['tri', 'mes', 'tre']",adjetivo,"['tɾĩ', 'mˈɛʃ', 'tɾɪ']",2
trimétrico,"['tri', 'mé', 'tri', 'co']",adjetivo,"['tɾi', 'mˈɛ', 'tɾi', 'kʊ']",3
trimilenário,"['tri', 'mi', 'le', 'ná', 'ri', 'o']",adjetivo,"['tɾi', 'mi', 'lẽ', 'nˈa', 'ɾjʊ']",3
trimilenário,"['tri', 'mi', 'le', 'ná', 'ri', 'o']",nome masculino,"['tɾi', 'mi', 'lẽ', 'nˈa', 'ɾjʊ']",3
trimilénio,"['tri', 'mi', 'lé', 'ni', 'o']",nome masculino,"['tɾi', 'mi', 'lˈɛ̃', 'njʊ']",3
trimotor,"['tri', 'mo', 'tor']",adjetivo,"['tɾĩ', 'mo', 'tˈo']",1
trimotor,"['tri', 'mo', 'tor']",nome masculino,"['tɾĩ', 'mo', 'tˈo']",1
trina,"['tri', 'na']",nome feminino,"['tɾˈĩ', 'nɐ']",2
trinado,"['tri', 'na', 'do']",nome masculino,"['tɾĩ', 'nˈa', 'dʊ']",2
trinado,"['tri', 'na', 'do']",adjetivo,"['tɾĩ', 'nˈa', 'dʊ']",2
trinador,"['tri', 'na', 'dor']",adjetivo,"['tɾĩ', 'na', 'dˈo']",1
trinar,"['tri', 'nar']",verbo,"['tɾĩ', 'nˈa']",1
trinca,"['trin', 'ca']",nome feminino,"['tɾˈĩ', 'kɐ']",2
trincadeira,"['trin', 'ca', 'dei', 'ra']",nome feminino,"['tɾĩ', 'ka', 'dˈej', 'ɾɐ']",2
trincadeira,"['trin', 'ca', 'dei', 'ra']",adjetivo,"['tɾĩ', 'ka', 'dˈej', 'ɾɐ']",2
trincadela,"['trin', 'ca', 'de', 'la']",nome feminino,"['tɾĩ', 'ka', 'dˈɛ', 'lɐ']",2
trincado,"['trin', 'ca', 'do']",adjetivo,"['tɾĩ', 'kˈa', 'dʊ']",2
trincado,"['trin', 'ca', 'do']",nome masculino,"['tɾĩ', 'kˈa', 'dʊ']",2
trincar,"['trin', 'car']",verbo,"['tɾĩ', 'kˈa']",1
trincha,"['trin', 'cha']",nome feminino,"['tɾˈĩ', 'ʃɐ']",2
trinchante,"['trin', 'chan', 'te']",nome masculino,"['tɾĩ', 'ʃˈɐ̃', 'tʃɪ']",2
trinchante,"['trin', 'chan', 'te']",adjetivo,"['tɾĩ', 'ʃˈɐ̃', 'tʃɪ']",2
trinchar,"['trin', 'char']",verbo,"['tɾĩ', 'ʃˈa']",1
trincheira,"['trin', 'chei', 'ra']",nome feminino,"['tɾĩ', 'ʃˈej', 'ɾɐ']",2
trincheirar,"['trin', 'chei', 'rar']",verbo,"['tɾĩ', 'ʃej', 'ɾˈa']",1
trinco,"['trin', 'co']",nome masculino,"['tɾˈĩ', 'kʊ']",2
trindade,"['trin', 'da', 'de']",nome feminino,"['tɾĩ', 'dˈa', 'dʒɪ']",2
trineto,"['tri', 'ne', 'to']",nome masculino,"['tɾĩ', 'nˈɛ', 'tʊ']",2
trinfar,"['trin', 'far']",verbo,"['tɾĩ', 'fˈa']",1
trinitária,"['tri', 'ni', 'tá', 'ri', 'a']",nome feminino,"['tɾĩ', 'ni', 'tˈa', 'ɾjɐ']",3
trinitário,"['tri', 'ni', 'tá', 'ri', 'o']",adjetivo,"['tɾĩ', 'ni', 'tˈa', 'ɾjʊ']",3
trinitário,"['tri', 'ni', 'tá', 'ri', 'o']",nome masculino,"['tɾĩ', 'ni', 'tˈa', 'ɾjʊ']",3
trinitrato,"['tri', 'ni', 'tra', 'to']",nome masculino,"['tɾi', 'ni', 'tɾˈa', 'tʊ']",2
trinítrico,"['tri', 'ní', 'tri', 'co']",adjetivo,"['tɾi', 'nˈi', 'tɾi', 'kʊ']",3
trinitrocelulose,"['tri', 'ni', 'tro', 'ce', 'lu', 'lo', 'se']",nome feminino,"['tɾi', 'ni', 'tɾo', 'se', 'lu', 'lˈɔ', 'zɪ']",2
trinitroglicerina,"['tri', 'ni', 'tro', 'gli', 'ce', 'ri', 'na']",nome feminino,"['tɾi', 'ni', 'tɾo', 'gli', 'se', 'ɾˈĩ', 'nɐ']",2
trino,"['tri', 'no']",nome masculino,"['tɾˈĩ', 'nʊ']",2
trino,"['tri', 'no']",adjetivo,"['tɾˈĩ', 'nʊ']",2
trinominal,"['tri', 'no', 'mi', 'nal']",adjetivo,"['tɾi', 'nõ', 'mĩ', 'nˈaw']",1
trinómio,"['tri', 'nó', 'mi', 'o']",nome masculino,"['tɾĩ', 'nˈɔ̃', 'mjʊ']",3
trinque,"['trin', 'que']",nome masculino,"['tɾˈĩ', 'kɪ']",2
trinta,"['trin', 'ta']",número,"['tɾˈĩ', 'tɐ']",2
