palavra,divisao,categoria,fonetica,tonic
ladroagem,"['la', 'dro', 'a', 'gem']",nome masculino,"['la', 'dɾo', 'ˈa', 'ʒẽj']",2
ladroeira,"['la', 'dro', 'ei', 'ra']",nome feminino,"['la', 'dɾo', 'ˈej', 'ɾɐ']",2
ladroeirar,"['la', 'dro', 'ei', 'rar']",verbo,"['la', 'dɾo', 'ej', 'ɾˈa']",1
ladrona,"['la', 'dro', 'na']",nome feminino,"['la', 'dɾˈõ', 'nɐ']",2
laga,"['la', 'ga']",nome feminino,"['lˈa', 'gɐ']",2
lagar,"['la', 'gar']",nome masculino,"['la', 'gˈa']",1
lagarada,"['la', 'ga', 'ra', 'da']",nome feminino,"['la', 'ga', 'ɾˈa', 'dɐ']",2
lagareiro,"['la', 'ga', 'rei', 'ro']",nome masculino,"['la', 'ga', 'ɾˈej', 'ɾʊ']",2
lagareiro,"['la', 'ga', 'rei', 'ro']",adjetivo,"['la', 'ga', 'ɾˈej', 'ɾʊ']",2
lagarinho,"['la', 'ga', 'ri', 'nho']",nome masculino,"['la', 'ga', 'ɾˈĩ', 'ɲʊ']",2
lagarta,"['la', 'gar', 'ta']",nome feminino,"['la', 'gˈah', 'tɐ']",2
lagarteiro,"['la', 'gar', 'tei', 'ro']",nome masculino,"['la', 'gah', 'tˈej', 'ɾʊ']",2
lagartixa,"['la', 'gar', 'ti', 'xa']",nome feminino,"['la', 'gah', 'tʃˈi', 'ʃɐ']",2
lagarto,"['la', 'gar', 'to']",nome masculino,"['la', 'gˈah', 'tʊ']",2
lago,"['la', 'go']",nome masculino,"['lˈa', 'gʊ']",2
lagoa,"['la', 'go', 'a']",nome feminino,"['la', 'gˈo', 'ɐ']",2
lagoense,"['la', 'go', 'en', 'se']",nome masculino,"['la', 'go', 'ˈẽ', 'sɪ ou la', 'go', 'ˈẽ', 'sɪ']",2
lagoense,"['la', 'go', 'en', 'se']",adjetivo,"['la', 'go', 'ˈẽ', 'sɪ']",2
lagosta,"['la', 'gos', 'ta']",nome feminino,"['la', 'gˈoʃ', 'tɐ']",2
