palavra,divisao,categoria,fonetica,tonic
ornitológico,"['or', 'ni', 'to', 'ló', 'gi', 'co']",adjetivo,"['oɦ', 'ni', 'to', 'lˈɔ', 'ʒi', 'kʊ']",3
ornitólogo,"['or', 'ni', 'tó', 'lo', 'go']",nome masculino,"['oɦ', 'ni', 'tˈɔ', 'lo', 'gʊ']",3
ornitópodes,"['or', 'ni', 'tó', 'po', 'des']",nome masculino,"['ɔɦ', 'ni', 'tˈɔ', 'po', 'dʒɪʃ']",3
ornitorrinco,"['or', 'ni', 'tor', 'rin', 'co']",nome masculino,"['oɦ', 'ni', 'to', 'ɦˈĩ', 'kʊ']",2
orofaringe,"['o', 'ro', 'fa', 'rin', 'ge']",nome feminino,"['ɔ', 'ɾɔ', 'fa', 'ɾˈĩ', 'ʒɪ']",2
orografia,"['o', 'ro', 'gra', 'fi', 'a']",nome feminino,"['ɔ', 'ɾo', 'gɾa', 'fˈi', 'ɐ']",2
orográfico,"['o', 'ro', 'grá', 'fi', 'co']",adjetivo,"['ɔ', 'ɾo', 'gɾˈa', 'fi', 'kʊ']",3
orquestra,"['or', 'ques', 'tra']",nome feminino,"['oh', 'kˈɛʃ', 'tɾɐ']",2
orquestração,"['or', 'ques', 'tra', 'ção']",nome feminino,"['oh', 'keʃ', 'tɾa', 'sˈɐ̃w']",1
orquestrador,"['or', 'ques', 'tra', 'dor']",nome masculino,"['oh', 'keʃ', 'tɾa', 'dˈo']",1
orquestrador,"['or', 'ques', 'tra', 'dor']",adjetivo,"['oh', 'keʃ', 'tɾa', 'dˈo']",1
orquestral,"['or', 'ques', 'tral']",adjetivo,"['oh', 'keʃ', 'tɾˈaw']",1
orquestralmente,"['or', 'ques', 'tral', 'men', 'te']",advérbio,"['oh', 'keʃ', 'tɾaw', 'mˈẽ', 'tʃɪ']",2
orquestrar,"['or', 'ques', 'trar']",verbo,"['oh', 'keʃ', 'tɾˈa']",1
orquídea,"['or', 'quí', 'de', 'a']",nome feminino,"['oh', 'kˈi', 'dʒjɐ']",3
orquite,"['or', 'qui', 'te']",nome feminino,"['ɔh', 'kˈi', 'tʃɪ']",2
ortiga,"['or', 'ti', 'ga']",nome feminino,"['ɔh', 'tʃˈi', 'gɐ']",2
ortigar,"['or', 'ti', 'gar']",verbo,"['oh', 'tʃi', 'gˈa']",1
orto,"['or', 'to']",nome masculino,"['ˈoh', 'tʊ']",2
ortodoxa,"['or', 'to', 'do', 'xa']",nome feminino,"['oh', 'to', 'dˈɔk', 'sɐ']",2
ortodoxamente,"['or', 'to', 'do', 'xa', 'men', 'te']",advérbio,"['oh', 'to', 'dɔk', 'sã', 'mˈẽ', 'tʃɪ']",2
ortodoxia,"['or', 'to', 'do', 'xi', 'a']",nome feminino,"['oh', 'to', 'dok', 'sˈi', 'ɐ']",2
ortodoxo,"['or', 'to', 'do', 'xo']",adjetivo,"['oh', 'to', 'dˈok', 'sʊ']",2
ortodoxo,"['or', 'to', 'do', 'xo']",nome masculino,"['oh', 'to', 'dˈok', 'sʊ']",2
ortogonal,"['or', 'to', 'go', 'nal']",adjetivo,"['oh', 'to', 'gõ', 'nˈaw']",1
ortogonalmente,"['or', 'to', 'go', 'nal', 'men', 'te']",advérbio,"['oh', 'to', 'gõ', 'naw', 'mˈẽ', 'tʃɪ']",2
ortografia,"['or', 'to', 'gra', 'fi', 'a']",nome feminino,"['oh', 'to', 'gɾa', 'fˈi', 'ɐ']",2
ortograficamente,"['or', 'to', 'gra', 'fi', 'ca', 'men', 'te']",advérbio,"['oh', 'to', 'gɾa', 'fi', 'kã', 'mˈẽ', 'tʃɪ']",2
ortográfico,"['or', 'to', 'grá', 'fi', 'co']",adjetivo,"['oh', 'to', 'gɾˈa', 'fi', 'kʊ']",3
